Cancer type;Period;Sex;Age range;Number
Digestive tract;1989;Male;45-59;1165
Digestive tract;1989;Male;75+;2162
Digestive tract;1989;Male;30-44;267
Digestive tract;1989;Male;15-29;31
Digestive tract;1989;Male;60-74;3147
Digestive tract;1989;Male;0-14;4
Digestive tract;1989;Male;All ages;6776
Digestive tract;1990;Male;45-59;1248
Digestive tract;1990;Male;75+;2184
Digestive tract;1990;Male;30-44;261
Digestive tract;1990;Male;0-14;3
Digestive tract;1990;Male;60-74;3099
Digestive tract;1990;Male;15-29;37
Digestive tract;1990;Male;All ages;6832
Digestive tract;1991;Male;45-59;1313
Digestive tract;1991;Male;75+;2301
Digestive tract;1991;Male;30-44;252
Digestive tract;1991;Male;60-74;3295
Digestive tract;1991;Male;15-29;37
Digestive tract;1991;Male;0-14;7
Digestive tract;1991;Male;All ages;7205
Digestive tract;1992;Male;45-59;1347
Digestive tract;1992;Male;75+;2312
Digestive tract;1992;Male;30-44;235
Digestive tract;1992;Male;15-29;33
Digestive tract;1992;Male;60-74;3351
Digestive tract;1992;Male;All ages;7286
Digestive tract;1992;Male;0-14;8
Digestive tract;1993;Male;45-59;1332
Digestive tract;1993;Male;75+;2215
Digestive tract;1993;Male;30-44;225
Digestive tract;1993;Male;15-29;25
Digestive tract;1993;Male;0-14;3
Digestive tract;1993;Male;60-74;3448
Digestive tract;1993;Male;All ages;7248
Digestive tract;1994;Male;45-59;1368
Digestive tract;1994;Male;75+;2283
Respiratory tract;1989;Male;0-14;0
Respiratory tract;1989;Male;30-44;129
Respiratory tract;1989;Male;45-59;1424
Respiratory tract;1989;Male;75+;1917
Respiratory tract;1989;Male;15-29;3
Respiratory tract;1989;Male;60-74;3980
Respiratory tract;1989;Male;All ages;7453
Respiratory tract;1990;Male;45-59;1243
Respiratory tract;1990;Male;30-44;171
Respiratory tract;1990;Male;0-14;2
Respiratory tract;1990;Male;75+;2037
Respiratory tract;1990;Male;60-74;4126
Respiratory tract;1990;Male;15-29;7
Respiratory tract;1990;Male;All ages;7586
Respiratory tract;1991;Male;0-14;1
Respiratory tract;1991;Male;45-59;1329
Respiratory tract;1991;Male;30-44;136
Respiratory tract;1991;Male;75+;2032
Respiratory tract;1991;Male;15-29;4
Respiratory tract;1991;Male;60-74;4245
Respiratory tract;1991;Male;All ages;7747
Respiratory tract;1992;Male;0-14;0
Respiratory tract;1992;Male;15-29;1
Respiratory tract;1992;Male;30-44;134
Respiratory tract;1992;Male;45-59;1360
Respiratory tract;1992;Male;75+;2097
Respiratory tract;1992;Male;60-74;4188
Respiratory tract;1992;Male;All ages;7780
Respiratory tract;1993;Male;45-59;1283
Respiratory tract;1993;Male;30-44;140
Respiratory tract;1993;Male;75+;1986
Respiratory tract;1993;Male;0-14;2
Respiratory tract;1993;Male;15-29;2
Respiratory tract;1993;Male;60-74;4077
Respiratory tract;1993;Male;All ages;7490
Respiratory tract;1994;Male;0-14;1
Respiratory tract;1994;Male;30-44;112
Digestive tract;1994;Male;30-44;242
Digestive tract;1994;Male;15-29;35
Digestive tract;1994;Male;60-74;3506
Digestive tract;1994;Male;0-14;5
Digestive tract;1994;Male;All ages;7439
Digestive tract;1995;Male;45-59;1407
Digestive tract;1995;Male;30-44;226
Digestive tract;1995;Male;75+;2337
Digestive tract;1995;Male;15-29;34
Digestive tract;1995;Male;60-74;3483
Digestive tract;1995;Male;All ages;7495
Digestive tract;1995;Male;0-14;8
Digestive tract;1996;Male;45-59;1465
Digestive tract;1996;Male;30-44;235
Digestive tract;1996;Male;75+;2413
Digestive tract;1996;Male;15-29;31
Digestive tract;1996;Male;60-74;3581
Digestive tract;1996;Male;0-14;7
Digestive tract;1996;Male;All ages;7732
Digestive tract;1997;Male;45-59;1481
Digestive tract;1997;Male;75+;2468
Digestive tract;1997;Male;15-29;25
Digestive tract;1997;Male;30-44;254
Digestive tract;1997;Male;60-74;3660
Digestive tract;1997;Male;All ages;7897
Digestive tract;1997;Male;0-14;9
Digestive tract;1998;Male;45-59;1562
Digestive tract;1998;Male;30-44;238
Digestive tract;1998;Male;75+;2489
Digestive tract;1998;Male;60-74;3700
Digestive tract;1998;Male;15-29;39
Digestive tract;1998;Male;0-14;4
Digestive tract;1998;Male;All ages;8032
Digestive tract;1999;Male;45-59;1570
Digestive tract;1999;Male;15-29;22
Digestive tract;1999;Male;30-44;246
Digestive tract;1999;Male;75+;2581
Digestive tract;1999;Male;60-74;3671
Digestive tract;1999;Male;0-14;5
Digestive tract;1999;Male;All ages;8095
Digestive tract;2000;Male;0-14;10
Digestive tract;2000;Male;45-59;1706
Digestive tract;2000;Male;75+;2604
Digestive tract;2000;Male;30-44;279
Digestive tract;2000;Male;15-29;31
Digestive tract;2000;Male;60-74;3783
Digestive tract;2000;Male;All ages;8413
Digestive tract;2001;Male;45-59;1677
Digestive tract;2001;Male;30-44;245
Digestive tract;2001;Male;75+;2558
Digestive tract;2001;Male;15-29;31
Digestive tract;2001;Male;60-74;3887
Digestive tract;2001;Male;All ages;8407
Digestive tract;2001;Male;0-14;9
Digestive tract;2002;Male;0-14;12
Digestive tract;2002;Male;45-59;1800
Digestive tract;2002;Male;15-29;26
Digestive tract;2002;Male;30-44;268
Digestive tract;2002;Male;75+;2799
Digestive tract;2002;Male;60-74;3915
Digestive tract;2002;Male;All ages;8820
Digestive tract;2003;Male;45-59;1862
Digestive tract;2003;Male;30-44;260
Digestive tract;2003;Male;15-29;29
Digestive tract;2003;Male;75+;2918
Digestive tract;2003;Male;60-74;4086
Digestive tract;2003;Male;0-14;7
Digestive tract;2003;Male;All ages;9162
Digestive tract;2004;Male;0-14;11
Digestive tract;2004;Male;45-59;1920
Digestive tract;2004;Male;15-29;29
Digestive tract;2004;Male;30-44;291
Digestive tract;2004;Male;75+;2983
Digestive tract;2004;Male;60-74;4344
Respiratory tract;1994;Male;45-59;1329
Respiratory tract;1994;Male;75+;1990
Respiratory tract;1994;Male;15-29;4
Respiratory tract;1994;Male;60-74;4044
Respiratory tract;1994;Male;All ages;7480
Respiratory tract;1995;Male;0-14;1
Respiratory tract;1995;Male;45-59;1264
Respiratory tract;1995;Male;30-44;132
Respiratory tract;1995;Male;75+;2046
Respiratory tract;1995;Male;60-74;3972
Respiratory tract;1995;Male;15-29;5
Respiratory tract;1995;Male;All ages;7420
Respiratory tract;1996;Male;0-14;1
Respiratory tract;1996;Male;45-59;1239
Respiratory tract;1996;Male;30-44;133
Respiratory tract;1996;Male;75+;2063
Respiratory tract;1996;Male;60-74;3953
Respiratory tract;1996;Male;15-29;5
Respiratory tract;1996;Male;All ages;7394
Respiratory tract;1997;Male;0-14;0
Respiratory tract;1997;Male;45-59;1241
Respiratory tract;1997;Male;30-44;125
Respiratory tract;1997;Male;75+;1916
Respiratory tract;1997;Male;60-74;3956
Respiratory tract;1997;Male;15-29;4
Respiratory tract;1997;Male;All ages;7242
Respiratory tract;1998;Male;0-14;0
Respiratory tract;1998;Male;30-44;117
Respiratory tract;1998;Male;45-59;1264
Respiratory tract;1998;Male;75+;1993
Respiratory tract;1998;Male;60-74;3717
Respiratory tract;1998;Male;15-29;4
Respiratory tract;1998;Male;All ages;7095
Respiratory tract;1999;Male;0-14;0
Respiratory tract;1999;Male;45-59;1225
Respiratory tract;1999;Male;30-44;128
Respiratory tract;1999;Male;75+;2029
All cancers;2019*;Male and Female;All ages;117631
Digestive tract;2004;Male;All ages;9578
Digestive tract;2005;Male;45-59;1950
Digestive tract;2005;Male;15-29;20
Digestive tract;2005;Male;30-44;276
Digestive tract;2005;Male;75+;3141
Digestive tract;2005;Male;60-74;4386
Digestive tract;2005;Male;0-14;7
Digestive tract;2005;Male;All ages;9780
Digestive tract;2006;Male;All ages;10093
Digestive tract;2006;Male;45-59;1960
Digestive tract;2006;Male;30-44;258
Digestive tract;2006;Male;15-29;26
Digestive tract;2006;Male;75+;3251
Digestive tract;2006;Male;60-74;4592
Digestive tract;2006;Male;0-14;6
Digestive tract;2007;Male;All ages;10738
Digestive tract;2007;Male;0-14;11
Digestive tract;2007;Male;45-59;1985
Digestive tract;2007;Male;15-29;23
Digestive tract;2007;Male;30-44;263
Digestive tract;2007;Male;75+;3507
Digestive tract;2007;Male;60-74;4949
Digestive tract;2008;Male;0-14;10
Digestive tract;2008;Male;All ages;11258
Digestive tract;2008;Male;45-59;2019
Digestive tract;2008;Male;15-29;22
Digestive tract;2008;Male;30-44;281
Digestive tract;2008;Male;75+;3640
Digestive tract;2008;Male;60-74;5286
Digestive tract;2009;Male;All ages;11585
Digestive tract;2009;Male;45-59;2031
Digestive tract;2009;Male;30-44;269
Digestive tract;2009;Male;15-29;35
Digestive tract;2009;Male;75+;3823
Digestive tract;2009;Male;60-74;5420
Digestive tract;2009;Male;0-14;7
Digestive tract;2010;Male;All ages;12033
Respiratory tract;1999;Male;60-74;3643
Respiratory tract;1999;Male;15-29;5
Respiratory tract;1999;Male;All ages;7030
Respiratory tract;2000;Male;0-14;1
Respiratory tract;2000;Male;45-59;1183
Respiratory tract;2000;Male;30-44;134
Respiratory tract;2000;Male;75+;1980
Respiratory tract;2000;Male;60-74;3584
Respiratory tract;2000;Male;15-29;5
Respiratory tract;2000;Male;All ages;6887
Respiratory tract;2001;Male;0-14;1
Respiratory tract;2001;Male;30-44;106
Respiratory tract;2001;Male;45-59;1248
Respiratory tract;2001;Male;75+;1914
Respiratory tract;2001;Male;60-74;3483
Respiratory tract;2001;Male;15-29;4
Respiratory tract;2001;Male;All ages;6756
Respiratory tract;2002;Male;0-14;0
Respiratory tract;2002;Male;30-44;105
Respiratory tract;2002;Male;45-59;1214
Respiratory tract;2002;Male;75+;2031
Respiratory tract;2002;Male;15-29;3
Respiratory tract;2002;Male;60-74;3530
Respiratory tract;2002;Male;All ages;6883
Respiratory tract;2003;Male;0-14;1
Respiratory tract;2003;Male;30-44;119
Respiratory tract;2003;Male;45-59;1245
Respiratory tract;2003;Male;75+;2084
Respiratory tract;2003;Male;60-74;3433
Respiratory tract;2003;Male;15-29;5
Respiratory tract;2003;Male;All ages;6887
Respiratory tract;2004;Male;0-14;0
Respiratory tract;2004;Male;30-44;119
Respiratory tract;2004;Male;45-59;1329
Respiratory tract;2004;Male;75+;2142
Respiratory tract;2004;Male;15-29;3
Respiratory tract;2004;Male;60-74;3543
Digestive tract;2010;Male;45-59;2079
Digestive tract;2010;Male;30-44;281
Digestive tract;2010;Male;0-14;3
Digestive tract;2010;Male;15-29;36
Digestive tract;2010;Male;75+;4094
Digestive tract;2010;Male;60-74;5540
Digestive tract;2011;Male;All ages;12306
Digestive tract;2011;Male;45-59;2192
Digestive tract;2011;Male;30-44;285
Digestive tract;2011;Male;15-29;35
Digestive tract;2011;Male;75+;4025
Digestive tract;2011;Male;60-74;5762
Digestive tract;2011;Male;0-14;7
Digestive tract;2012;Male;All ages;12595
Digestive tract;2012;Male;45-59;2108
Digestive tract;2012;Male;30-44;287
Digestive tract;2012;Male;15-29;37
Digestive tract;2012;Male;75+;4097
Digestive tract;2012;Male;0-14;5
Digestive tract;2012;Male;60-74;6061
Digestive tract;2013;Male;All ages;12691
Digestive tract;2013;Male;45-59;2156
Digestive tract;2013;Male;30-44;279
Digestive tract;2013;Male;75+;4062
Digestive tract;2013;Male;15-29;43
Digestive tract;2013;Male;60-74;6142
Digestive tract;2013;Male;0-14;9
Digestive tract;2014;Male;0-14;10
Digestive tract;2014;Male;All ages;14055
Digestive tract;2014;Male;45-59;2123
Digestive tract;2014;Male;30-44;269
Digestive tract;2014;Male;15-29;44
Digestive tract;2014;Male;75+;4720
Digestive tract;2014;Male;60-74;6889
Digestive tract;2015;Male;All ages;14972
Digestive tract;2015;Male;45-59;2080
Digestive tract;2015;Male;30-44;273
Digestive tract;2015;Male;15-29;31
Digestive tract;2015;Male;75+;4365
Digestive tract;2015;Male;0-14;5
Digestive tract;2015;Male;60-74;8218
Digestive tract;2016;Male;All ages;14777
Digestive tract;2016;Male;30-44;220
Digestive tract;2016;Male;45-59;2344
Digestive tract;2016;Male;15-29;33
Digestive tract;2016;Male;75+;4404
Digestive tract;2016;Male;0-14;7
Digestive tract;2016;Male;60-74;7769
Digestive tract;2017;Male;All ages;14086
Digestive tract;2017;Male;45-59;2352
Digestive tract;2017;Male;30-44;255
Digestive tract;2017;Male;0-14;4
Digestive tract;2017;Male;75+;4380
Digestive tract;2017;Male;15-29;50
Digestive tract;2017;Male;60-74;7045
Digestive tract;2018*;Male;All ages;13659
Digestive tract;2018*;Male;45-59;2563
Digestive tract;2018*;Male;30-44;274
Digestive tract;2018*;Male;15-29;41
Digestive tract;2018*;Male;75+;4611
Digestive tract;2018*;Male;0-14;6
Digestive tract;2018*;Male;60-74;6164
Digestive tract;2019*;Male;All ages;13112
Digestive tract;2019*;Male;0-14;23
Digestive tract;2019*;Male;45-59;2315
Digestive tract;2019*;Male;30-44;258
Digestive tract;2019*;Male;15-29;41
Digestive tract;2019*;Male;75+;4336
Digestive tract;2019*;Male;60-74;6139
Digestive tract;1989;Female;30-44;194
Digestive tract;1989;Female;60-74;2404
Digestive tract;1989;Female;75+;2707
Digestive tract;1989;Female;15-29;33
Digestive tract;1989;Female;All ages;6123
Respiratory tract;2004;Male;All ages;7136
Respiratory tract;2005;Male;0-14;0
Respiratory tract;2005;Male;45-59;1216
Respiratory tract;2005;Male;75+;2129
Respiratory tract;2005;Male;60-74;3575
Respiratory tract;2005;Male;15-29;4
Respiratory tract;2005;Male;All ages;7016
Respiratory tract;2005;Male;30-44;92
Respiratory tract;2006;Male;0-14;1
Respiratory tract;2006;Male;30-44;108
Respiratory tract;2006;Male;45-59;1260
Respiratory tract;2006;Male;75+;2342
Respiratory tract;2006;Male;60-74;3584
Respiratory tract;2006;Male;15-29;4
Respiratory tract;2006;Male;All ages;7299
Respiratory tract;2007;Male;0-14;0
Respiratory tract;2007;Male;45-59;1220
Respiratory tract;2007;Male;75+;2377
Respiratory tract;2007;Male;60-74;3682
Respiratory tract;2007;Male;15-29;7
Respiratory tract;2007;Male;All ages;7381
Respiratory tract;2007;Male;30-44;95
Respiratory tract;2008;Male;0-14;0
Respiratory tract;2008;Male;45-59;1189
Respiratory tract;2008;Male;75+;2467
Respiratory tract;2008;Male;60-74;3735
Respiratory tract;2008;Male;15-29;6
Respiratory tract;2008;Male;All ages;7486
Respiratory tract;2008;Male;30-44;89
Respiratory tract;2009;Male;45-59;1175
Respiratory tract;2009;Male;75+;2593
Respiratory tract;2009;Male;0-14;3
Respiratory tract;2009;Male;60-74;3815
Respiratory tract;2009;Male;15-29;7
Respiratory tract;2009;Male;All ages;7685
Respiratory tract;2009;Male;30-44;92
Respiratory tract;2010;Male;45-59;1165
Digestive tract;1989;Female;45-59;777
Digestive tract;1989;Female;0-14;8
Digestive tract;1990;Female;30-44;198
Digestive tract;1990;Female;60-74;2397
Digestive tract;1990;Female;75+;2743
Digestive tract;1990;Female;0-14;4
Digestive tract;1990;Female;15-29;56
Digestive tract;1990;Female;All ages;6213
Digestive tract;1990;Female;45-59;815
Digestive tract;1991;Female;30-44;193
Digestive tract;1991;Female;60-74;2468
Digestive tract;1991;Female;75+;2794
Digestive tract;1991;Female;0-14;4
Digestive tract;1991;Female;15-29;41
Digestive tract;1991;Female;All ages;6357
Digestive tract;1991;Female;45-59;857
Digestive tract;1992;Female;30-44;201
Digestive tract;1992;Female;60-74;2450
Digestive tract;1992;Female;75+;2946
Digestive tract;1992;Female;15-29;43
Digestive tract;1992;Female;All ages;6564
Digestive tract;1992;Female;0-14;7
Digestive tract;1992;Female;45-59;917
Digestive tract;1993;Female;30-44;189
Digestive tract;1993;Female;60-74;2500
Digestive tract;1993;Female;75+;2884
Digestive tract;1993;Female;15-29;37
Digestive tract;1993;Female;All ages;6547
Digestive tract;1993;Female;0-14;7
Digestive tract;1993;Female;45-59;930
Digestive tract;1994;Female;30-44;220
Digestive tract;1994;Female;60-74;2538
Digestive tract;1994;Female;75+;2894
Digestive tract;1994;Female;15-29;38
Digestive tract;1994;Female;0-14;4
Digestive tract;1994;Female;All ages;6611
Digestive tract;1994;Female;45-59;917
Digestive tract;1995;Female;30-44;175
Digestive tract;1995;Female;60-74;2539
Digestive tract;1995;Female;75+;2864
Digestive tract;1995;Female;15-29;37
Digestive tract;1995;Female;All ages;6597
Digestive tract;1995;Female;0-14;7
Digestive tract;1995;Female;45-59;975
Digestive tract;1996;Female;30-44;220
Digestive tract;1996;Female;60-74;2460
Digestive tract;1996;Female;75+;2916
Digestive tract;1996;Female;15-29;39
Digestive tract;1996;Female;All ages;6619
Digestive tract;1996;Female;0-14;9
Digestive tract;1996;Female;45-59;975
Digestive tract;1997;Female;45-59;1013
Digestive tract;1997;Female;30-44;200
Digestive tract;1997;Female;60-74;2457
Digestive tract;1997;Female;75+;2966
Digestive tract;1997;Female;15-29;41
Digestive tract;1997;Female;All ages;6686
Digestive tract;1997;Female;0-14;9
Digestive tract;1998;Female;45-59;1046
Digestive tract;1998;Female;0-14;13
Digestive tract;1998;Female;30-44;198
Digestive tract;1998;Female;60-74;2524
Digestive tract;1998;Female;75+;2988
Digestive tract;1998;Female;15-29;40
Digestive tract;1998;Female;All ages;6809
Digestive tract;1999;Female;0-14;11
Digestive tract;1999;Female;45-59;1100
Digestive tract;1999;Female;30-44;214
Digestive tract;1999;Female;60-74;2571
Digestive tract;1999;Female;75+;3008
Digestive tract;1999;Female;15-29;42
Digestive tract;1999;Female;All ages;6946
Digestive tract;2000;Female;45-59;1108
Digestive tract;2000;Female;30-44;208
Respiratory tract;2010;Male;0-14;2
Respiratory tract;2010;Male;15-29;2
Respiratory tract;2010;Male;75+;2748
Respiratory tract;2010;Male;60-74;3805
Respiratory tract;2010;Male;All ages;7818
Respiratory tract;2010;Male;30-44;96
Respiratory tract;2011;Male;0-14;0
Respiratory tract;2011;Male;30-44;105
Respiratory tract;2011;Male;45-59;1147
Respiratory tract;2011;Male;75+;2769
Respiratory tract;2011;Male;60-74;3908
Respiratory tract;2011;Male;15-29;5
Respiratory tract;2011;Male;All ages;7934
Respiratory tract;2012;Male;0-14;0
Respiratory tract;2012;Male;45-59;1083
Respiratory tract;2012;Male;75+;2703
Respiratory tract;2012;Male;60-74;3717
Respiratory tract;2012;Male;15-29;4
Respiratory tract;2012;Male;All ages;7600
Respiratory tract;2012;Male;30-44;93
Respiratory tract;2013;Male;0-14;1
Respiratory tract;2013;Male;45-59;1164
Respiratory tract;2013;Male;75+;2720
Respiratory tract;2013;Male;60-74;3774
Respiratory tract;2013;Male;All ages;7758
Respiratory tract;2013;Male;15-29;8
Respiratory tract;2013;Male;30-44;91
Respiratory tract;2014;Male;0-14;0
Respiratory tract;2014;Male;75+;2710
Respiratory tract;2014;Male;60-74;3849
Respiratory tract;2014;Male;15-29;4
Respiratory tract;2014;Male;All ages;7654
Respiratory tract;2014;Male;30-44;98
Respiratory tract;2014;Male;45-59;993
Respiratory tract;2015;Male;0-14;0
Respiratory tract;2015;Male;45-59;1040
Respiratory tract;2015;Male;75+;2904
Digestive tract;2000;Female;60-74;2612
Digestive tract;2000;Female;15-29;30
Digestive tract;2000;Female;75+;3023
Digestive tract;2000;Female;0-14;5
Digestive tract;2000;Female;All ages;6986
Digestive tract;2001;Female;45-59;1167
Digestive tract;2001;Female;60-74;2533
Digestive tract;2001;Female;30-44;260
Digestive tract;2001;Female;15-29;29
Digestive tract;2001;Female;75+;2999
Digestive tract;2001;Female;All ages;6997
Digestive tract;2001;Female;0-14;9
Digestive tract;2002;Female;45-59;1219
Digestive tract;2002;Female;0-14;13
Digestive tract;2002;Female;30-44;229
Digestive tract;2002;Female;60-74;2704
Digestive tract;2002;Female;15-29;29
Digestive tract;2002;Female;75+;3027
Digestive tract;2002;Female;All ages;7221
Digestive tract;2003;Female;45-59;1300
Digestive tract;2003;Female;30-44;229
Digestive tract;2003;Female;60-74;2683
Digestive tract;2003;Female;75+;3221
Digestive tract;2003;Female;15-29;35
Digestive tract;2003;Female;0-14;7
Digestive tract;2003;Female;All ages;7475
Digestive tract;2004;Female;0-14;10
Digestive tract;2004;Female;45-59;1316
Digestive tract;2004;Female;30-44;229
Digestive tract;2004;Female;60-74;2812
Digestive tract;2004;Female;15-29;29
Digestive tract;2004;Female;75+;3326
Digestive tract;2004;Female;All ages;7722
Digestive tract;2005;Female;45-59;1354
Digestive tract;2005;Female;30-44;214
Digestive tract;2005;Female;60-74;2884
Digestive tract;2005;Female;0-14;3
Digestive tract;2005;Female;75+;3496
Digestive tract;2005;Female;15-29;45
Digestive tract;2005;Female;All ages;7996
Digestive tract;2006;Female;45-59;1435
Digestive tract;2006;Female;30-44;232
Digestive tract;2006;Female;60-74;2921
Digestive tract;2006;Female;75+;3506
Digestive tract;2006;Female;15-29;43
Digestive tract;2006;Female;0-14;8
Digestive tract;2006;Female;All ages;8145
Digestive tract;2007;Female;45-59;1387
Digestive tract;2007;Female;30-44;261
Digestive tract;2007;Female;60-74;3040
Digestive tract;2007;Female;75+;3616
Digestive tract;2007;Female;15-29;42
Digestive tract;2007;Female;0-14;7
Digestive tract;2007;Female;All ages;8353
Digestive tract;2008;Female;45-59;1408
Digestive tract;2008;Female;30-44;256
Digestive tract;2008;Female;60-74;3285
Digestive tract;2008;Female;75+;3740
Digestive tract;2008;Female;15-29;48
Digestive tract;2008;Female;0-14;8
Digestive tract;2008;Female;All ages;8745
Digestive tract;2009;Female;45-59;1464
Digestive tract;2009;Female;30-44;276
Digestive tract;2009;Female;60-74;3422
Digestive tract;2009;Female;75+;3724
Digestive tract;2009;Female;0-14;4
Digestive tract;2009;Female;15-29;49
Digestive tract;2009;Female;All ages;8939
Digestive tract;2010;Female;0-14;10
Digestive tract;2010;Female;45-59;1390
Digestive tract;2010;Female;30-44;243
Digestive tract;2010;Female;60-74;3579
Digestive tract;2010;Female;75+;3837
Digestive tract;2010;Female;15-29;43
Head and neck;1989;Male;0-14;1
Head and neck;1989;Male;All ages;1467
Head and neck;1989;Male;75+;271
Head and neck;1989;Male;15-29;4
Head and neck;1989;Male;45-59;409
Head and neck;1989;Male;60-74;692
Head and neck;1989;Male;30-44;90
Head and neck;1990;Male;0-14;1
Head and neck;1990;Male;30-44;100
Head and neck;1990;Male;15-29;11
Head and neck;1990;Male;All ages;1552
Head and neck;1990;Male;75+;268
Head and neck;1990;Male;45-59;449
Head and neck;1990;Male;60-74;723
Head and neck;1991;Male;0-14;0
Head and neck;1991;Male;All ages;1536
Head and neck;1991;Male;75+;281
Head and neck;1991;Male;15-29;3
Head and neck;1991;Male;45-59;462
Head and neck;1991;Male;60-74;707
Head and neck;1991;Male;30-44;83
Head and neck;1992;Male;30-44;112
Head and neck;1992;Male;All ages;1568
Head and neck;1992;Male;0-14;2
Head and neck;1992;Male;75+;274
Head and neck;1992;Male;45-59;478
Head and neck;1992;Male;15-29;6
Head and neck;1992;Male;60-74;696
Head and neck;1993;Male;0-14;1
Head and neck;1993;Male;15-29;10
Head and neck;1993;Male;All ages;1556
Head and neck;1993;Male;75+;274
Head and neck;1993;Male;45-59;444
Head and neck;1993;Male;60-74;732
Head and neck;1993;Male;30-44;95
Head and neck;1994;Male;0-14;0
Head and neck;1994;Male;All ages;1557
Respiratory tract;2015;Male;60-74;4007
Respiratory tract;2015;Male;15-29;5
Respiratory tract;2015;Male;All ages;8052
Respiratory tract;2015;Male;30-44;96
Respiratory tract;2016;Male;45-59;1046
Respiratory tract;2016;Male;0-14;2
Respiratory tract;2016;Male;75+;2899
Respiratory tract;2016;Male;15-29;4
Respiratory tract;2016;Male;60-74;4016
Respiratory tract;2016;Male;All ages;8059
Respiratory tract;2016;Male;30-44;92
Respiratory tract;2017;Male;75+;2936
Respiratory tract;2017;Male;60-74;3985
Respiratory tract;2017;Male;0-14;4
Respiratory tract;2017;Male;15-29;7
Respiratory tract;2017;Male;30-44;72
Respiratory tract;2017;Male;All ages;7967
Respiratory tract;2017;Male;45-59;963
Respiratory tract;2018*;Male;0-14;1
Respiratory tract;2018*;Male;75+;2947
Respiratory tract;2018*;Male;60-74;4018
Respiratory tract;2018*;Male;15-29;6
Respiratory tract;2018*;Male;All ages;8043
Respiratory tract;2018*;Male;30-44;82
Respiratory tract;2018*;Male;45-59;989
Respiratory tract;2019*;Male;0-14;0
Respiratory tract;2019*;Male;15-29;11
Respiratory tract;2019*;Male;75+;2908
Respiratory tract;2019*;Male;60-74;4030
Respiratory tract;2019*;Male;All ages;8024
Respiratory tract;2019*;Male;30-44;81
Respiratory tract;2019*;Male;45-59;994
Respiratory tract;1989;Female;0-14;0
Respiratory tract;1989;Female;30-44;105
Respiratory tract;1989;Female;All ages;1345
Respiratory tract;1989;Female;75+;249
Respiratory tract;1989;Female;45-59;413
All cancers;1989;Male;60-74;13236
All cancers;1989;Male;30-44;1474
All cancers;1989;Male;0-14;191
All cancers;1989;Male;All ages;29110
All cancers;1989;Male;45-59;4981
All cancers;1989;Male;15-29;534
All cancers;1989;Male;75+;8694
All cancers;1990;Male;60-74;13487
All cancers;1990;Male;30-44;1465
All cancers;1990;Male;0-14;197
All cancers;1990;Male;All ages;29600
All cancers;1990;Male;45-59;4968
All cancers;1990;Male;15-29;573
All cancers;1990;Male;75+;8910
All cancers;1991;Male;60-74;13921
All cancers;1991;Male;30-44;1464
All cancers;1991;Male;0-14;197
All cancers;1991;Male;All ages;30383
All cancers;1991;Male;45-59;5120
All cancers;1991;Male;15-29;523
All cancers;1991;Male;75+;9158
All cancers;1992;Male;60-74;14357
All cancers;1992;Male;30-44;1537
All cancers;1992;Male;0-14;225
All cancers;1992;Male;All ages;31626
All cancers;1992;Male;15-29;518
All cancers;1992;Male;45-59;5409
All cancers;1992;Male;75+;9580
All cancers;1993;Male;60-74;14577
All cancers;1993;Male;30-44;1493
All cancers;1993;Male;0-14;207
All cancers;1993;Male;All ages;31781
All cancers;1993;Male;45-59;5247
All cancers;1993;Male;15-29;610
All cancers;1993;Male;75+;9647
All cancers;1994;Male;30-44;1494
All cancers;1994;Male;60-74;15468
Digestive tract;2010;Female;All ages;9102
Digestive tract;2011;Female;45-59;1493
Digestive tract;2011;Female;30-44;264
Digestive tract;2011;Female;60-74;3821
Digestive tract;2011;Female;75+;3913
Digestive tract;2011;Female;15-29;52
Digestive tract;2011;Female;0-14;7
Digestive tract;2011;Female;All ages;9550
Digestive tract;2012;Female;45-59;1419
Digestive tract;2012;Female;30-44;250
Digestive tract;2012;Female;75+;3860
Digestive tract;2012;Female;60-74;3907
Digestive tract;2012;Female;15-29;52
Digestive tract;2012;Female;0-14;8
Digestive tract;2012;Female;All ages;9496
Digestive tract;2013;Female;45-59;1482
Digestive tract;2013;Female;30-44;266
Digestive tract;2013;Female;75+;3677
Digestive tract;2013;Female;60-74;3684
Digestive tract;2013;Female;15-29;49
Digestive tract;2013;Female;0-14;9
Digestive tract;2013;Female;All ages;9167
Digestive tract;2014;Female;All ages;10334
Digestive tract;2014;Female;45-59;1456
Digestive tract;2014;Female;30-44;262
Digestive tract;2014;Female;15-29;39
Digestive tract;2014;Female;75+;4139
Digestive tract;2014;Female;60-74;4432
Digestive tract;2014;Female;0-14;6
Digestive tract;2015;Female;All ages;10599
Digestive tract;2015;Female;45-59;1535
Digestive tract;2015;Female;30-44;244
Digestive tract;2015;Female;75+;3750
Digestive tract;2015;Female;60-74;5010
Digestive tract;2015;Female;15-29;53
Digestive tract;2015;Female;0-14;7
Digestive tract;2016;Female;All ages;10539
All cancers;1994;Male;0-14;195
All cancers;1994;Male;All ages;33201
All cancers;1994;Male;15-29;516
All cancers;1994;Male;45-59;5589
All cancers;1994;Male;75+;9939
All cancers;1995;Male;75+;10242
All cancers;1995;Male;30-44;1533
All cancers;1995;Male;60-74;15490
All cancers;1995;Male;0-14;219
All cancers;1995;Male;All ages;33633
