AGE	GENDER	GROUP_SIZE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
75	1	6	66,05	69,49	27,23	87,21	100,27	99,86	178,93	26,94	85,89	99,53	99,28	178,53	48,11	51,52	4,42	11,06	6,52	9,05	78,69	77,55	67,47	66,31	100,76	101,14	137,57	140,60	41,78	5,17	5,56	4,94	5,54	4,54	14,89	12,97	12,09	16,42	25,14	3,23	433,52	2230,20	357,75	1851,33	 	14,39	50,00	1,86	2,75	2,76	29,58	19,06	18,43	21,35	20,72	30,35	17,55	29,55	0,92	0,82	0,68	0,56	2009,59	-0,58	0,69	0,49
75	2	7	66,02	69,51	27,57	75,23	103,59	92,41	165,24	27,55	74,69	103,26	91,74	164,72	67,39	66,67	3,92	4,51	10,49	13,65	73,87	73,32	70,40	70,46	96,74	98,75	134,49	140,68	40,31	5,73	5,30	5,53	5,43	8,00	6,79	9,16	9,23	12,90	27,77	3,80	362,50	1826,61	338,90	1708,63	2,52	26,35	60,00	4,21	5,83	6,79	28,18	18,96	20,85	21,64	18,45	28,48	20,12	27,90	1,03	0,95	0,82	0,78	2009,64	-0,73	1,50	1,00
76	1	6	67,01	70,51	27,27	86,88	100,09	99,60	178,54	26,93	85,24	99,25	99,06	177,97	44,97	41,63	3,98	11,30	8,74	10,24	78,72	78,14	67,65	66,45	101,00	102,18	137,84	142,17	44,18	5,19	5,51	4,90	5,58	4,67	14,12	10,79	11,43	15,80	25,21	3,28	448,53	2321,13	368,27	1919,85	 	14,67	20,00	0,52	1,83	1,83	28,73	18,65	18,27	20,58	19,58	28,62	18,50	28,62	0,91	0,82	0,64	0,55	2009,58	-0,59	0,75	0,45
76	2	6	66,84	70,43	27,34	74,81	103,30	92,17	165,41	27,15	73,74	103,06	91,57	164,80	66,17	67,26	2,55	5,25	12,85	14,41	73,79	73,30	70,80	70,27	97,46	98,84	136,22	140,70	38,84	5,76	5,31	5,51	5,33	6,27	5,81	6,40	10,50	13,98	27,68	3,82	347,72	1741,66	336,93	1687,69	2,52	26,37	42,86	4,85	5,65	8,29	27,52	18,57	20,48	21,26	18,61	29,28	19,52	28,38	0,98	0,86	0,74	0,63	2009,45	-0,61	1,25	1,18
77	1	5	67,94	71,45	27,01	85,51	99,55	98,76	177,89	26,89	84,62	99,18	98,73	177,41	45,05	48,28	3,67	9,84	7,72	8,97	78,22	77,32	66,89	65,84	100,78	101,77	138,40	142,19	44,52	5,09	5,55	4,93	5,52	6,55	13,47	9,40	13,03	15,67	24,94	3,16	462,05	2411,35	413,25	2167,37	 	11,73	 	1,90	2,19	1,34	33,33	13,33	16,17	19,17	20,83	32,00	14,00	31,17	1,02	0,88	0,70	0,64	2009,49	-0,59	0,96	0,80
77	2	6	67,93	71,42	27,15	73,63	102,26	91,35	164,67	27,08	72,89	102,52	91,32	164,09	67,00	70,89	3,24	4,31	10,44	16,71	73,43	72,85	70,34	70,30	97,41	99,12	136,18	142,53	41,32	5,74	5,31	5,53	5,33	5,32	6,12	7,85	9,26	12,73	27,79	3,84	328,73	1639,41	311,15	1551,50	2,56	27,70	 	4,81	5,52	9,09	29,33	18,67	18,50	23,17	19,50	30,33	18,17	28,50	1,00	0,93	0,80	0,60	2009,52	-0,72	1,63	1,17
78	1	4	68,95	72,46	27,25	85,61	99,81	99,68	177,21	27,01	84,59	99,62	99,39	176,99	48,45	48,59	1,63	6,03	9,00	13,13	78,22	77,37	67,47	65,91	101,19	102,13	138,92	143,53	47,86	4,98	5,54	4,73	5,67	6,68	14,81	10,74	13,82	17,54	24,73	3,19	415,20	2135,48	346,39	1791,42	 	14,25	 	1,01	1,35	2,03	29,00	17,75	19,00	20,63	19,75	29,88	19,25	28,50	0,97	0,81	0,84	0,66	2009,49	-0,55	0,66	0,59
78	2	5	68,89	72,42	27,05	73,40	102,90	91,74	164,75	26,82	71,99	101,99	90,88	163,86	71,35	72,26	2,72	4,28	11,21	8,77	74,05	73,41	69,77	70,55	98,41	99,88	138,23	143,71	45,28	5,72	5,33	5,57	5,38	7,32	5,52	8,09	9,56	12,24	27,38	3,75	367,17	1857,12	349,47	1768,64	2,70	25,43	 	3,47	3,95	3,15	27,73	19,91	21,27	22,64	18,82	29,09	20,18	27,73	1,07	0,92	0,90	0,65	2009,43	-0,71	1,66	1,12
79	1	4	69,97	73,49	26,88	84,05	99,48	98,44	176,78	26,80	83,28	99,22	99,16	176,27	48,99	50,18	1,71	6,05	8,40	12,06	77,89	76,21	66,86	66,42	101,35	100,85	139,72	141,85	46,67	5,04	5,58	4,82	5,60	6,78	14,29	6,74	13,87	17,67	25,13	3,23	414,96	2163,89	370,79	1943,04	 	13,75	 	3,53	3,09	3,45	29,50	19,50	20,90	20,70	21,00	29,00	18,00	27,80	0,99	0,75	0,73	0,54	2009,54	-0,69	0,81	0,60
79	2	4	69,89	73,40	27,23	73,81	103,12	91,50	164,70	26,67	71,99	101,89	90,60	164,40	69,90	69,81	1,22	3,70	12,61	13,36	74,29	73,54	70,60	71,83	98,80	100,26	138,63	144,39	44,44	5,68	5,44	5,40	5,30	6,32	3,96	4,32	11,69	14,39	28,32	3,91	356,24	1818,43	342,02	1747,34	2,77	24,06	 	4,33	2,43	4,26	28,00	20,00	19,50	20,50	20,50	27,50	18,00	28,00	1,16	0,85	0,74	0,55	2009,58	-0,69	1,38	0,19
