AGE	GENDER	GROUP_SIZE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
25	1	2	17,15	20,00	21,53	72,20	89,85	78,03	182,96	22,74	77,54	92,94	81,40	184,60	57,03	21,65	15,20	61,86	7,03	2,08	62,05	65,51	71,48	71,33	84,41	88,54	118,00	125,35	0,00	3,80	4,70	4,00	4,75	16,41	0,29	22,81	0,36	1,09	17,25	1,59	433,02	2647,04	433,02	2647,04	 	0,00	 	0,00	1,47	2,99	29,28	18,53	19,25	22,70	27,28	26,43	17,85	26,57	0,97	2,23	0,57	2,30	2010,00	-0,67	0,33	1,07
25	2	4	17,20	19,96	22,27	64,91	91,80	75,34	170,67	23,14	67,64	95,72	76,91	170,93	53,23	11,96	18,50	71,20	9,36	9,78	65,06	66,08	73,55	72,36	84,43	86,38	114,26	118,43	0,00	4,23	4,66	4,24	4,55	13,43	0,34	19,68	1,14	1,14	19,47	2,06	361,67	2066,36	361,67	2066,36	0,00	0,00	 	1,41	6,34	11,27	28,25	19,58	20,91	23,33	26,44	27,01	20,21	26,35	1,01	3,30	0,66	3,37	2010,00	-0,67	1,40	1,87
26	1	3	17,89	21,06	22,15	74,92	91,49	79,89	183,78	23,16	79,90	94,79	83,14	185,60	46,94	5,41	18,83	78,38	1,65	4,50	63,69	65,98	71,45	69,39	85,82	88,75	120,23	125,79	0,73	3,94	4,73	4,05	4,66	14,40	0,42	24,41	0,00	0,34	17,70	1,71	543,63	3177,07	468,06	2799,21	 	0,00	 	0,00	0,00	4,23	29,41	18,50	19,33	22,63	26,96	26,70	17,96	26,16	1,00	2,32	0,51	2,46	2010,00	-0,66	0,41	2,11
26	2	5	18,08	21,07	22,57	65,84	92,87	76,39	170,78	23,22	67,81	94,99	76,51	170,93	42,86	7,42	16,80	74,71	8,61	9,30	65,37	66,18	74,94	71,95	84,39	86,09	114,18	117,08	0,37	4,40	4,53	4,31	4,50	14,52	0,29	19,81	0,00	0,19	19,57	2,05	397,15	2267,23	336,46	1963,82	0,00	0,00	 	3,81	7,73	13,33	28,62	19,48	21,42	23,99	25,79	26,95	20,49	26,63	1,12	3,43	0,81	3,72	2010,00	-0,69	1,60	3,20
27	1	3	18,74	21,84	22,57	75,66	92,13	80,82	182,94	23,19	78,56	94,28	82,91	183,83	37,11	7,75	19,93	73,64	5,52	5,43	64,04	66,94	70,97	68,19	86,32	89,83	121,34	127,41	1,32	3,91	4,75	4,06	4,71	19,72	0,43	24,41	0,34	0,34	17,65	1,60	617,32	3548,63	418,27	2553,39	 	0,00	 	1,08	2,17	2,15	29,10	18,56	19,18	23,26	27,46	26,81	18,38	26,37	1,03	2,51	0,79	2,41	2010,00	-0,86	1,11	1,76
27	2	6	18,70	21,84	23,02	67,25	93,49	77,68	170,95	23,23	68,44	96,05	77,27	171,59	36,82	3,79	17,58	74,23	9,51	8,56	65,52	66,27	75,65	72,10	84,67	86,12	114,67	117,42	0,16	4,37	4,54	4,35	4,51	13,77	0,37	22,02	0,00	0,17	20,39	2,24	448,12	2501,74	328,23	1902,28	0,01	0,00	 	2,02	5,71	9,72	28,76	19,53	21,23	23,98	25,82	26,98	20,39	26,61	1,25	3,57	0,83	3,62	2010,00	-0,79	1,82	3,66
28	1	3	19,47	22,80	22,94	77,45	92,91	82,28	183,71	23,75	80,43	94,80	84,52	184,04	31,10	6,25	26,35	78,91	6,47	8,59	65,13	67,31	71,90	69,98	87,11	89,87	121,83	126,47	0,29	4,04	4,78	4,20	4,71	13,31	0,57	27,97	0,61	0,61	18,06	1,70	628,63	3575,85	425,49	2560,18	 	0,29	 	2,30	1,15	1,14	29,39	18,95	18,88	23,46	27,88	27,24	17,88	26,35	1,27	2,82	0,65	2,81	2010,00	-0,92	1,09	3,11
28	2	6	19,55	22,85	23,35	67,91	93,93	78,79	170,46	23,84	69,40	96,60	78,56	170,61	23,21	4,70	20,66	82,45	11,36	10,03	66,02	67,41	76,33	72,27	85,04	87,32	115,11	118,79	0,00	4,43	4,55	4,33	4,54	14,29	0,60	26,27	0,16	0,47	20,35	2,19	451,64	2465,24	320,84	1811,26	0,02	0,15	 	0,75	6,08	10,19	28,51	19,75	21,10	24,05	25,50	27,03	20,33	26,58	1,14	3,50	0,74	3,10	2010,00	-0,92	2,01	2,37
29	1	3	20,47	23,75	23,10	78,00	93,39	82,57	183,63	23,71	79,89	95,40	84,20	183,35	18,93	5,19	30,96	80,74	4,04	6,67	65,24	67,66	71,46	68,39	87,34	89,64	122,28	125,72	0,54	4,13	4,80	4,31	4,86	14,59	0,78	26,44	0,29	0,57	18,75	1,85	658,43	3757,05	399,84	2464,08	 	0,80	 	0,00	1,03	4,12	29,38	18,80	19,18	23,41	27,53	27,52	18,09	26,73	1,16	2,97	0,81	2,54	2009,77	-0,83	1,16	1,77
29	2	7	20,43	23,82	23,19	67,41	93,51	78,16	170,47	23,56	68,62	96,25	77,88	170,61	14,83	3,22	27,47	84,21	10,94	9,36	66,54	67,55	75,03	72,48	85,23	86,69	115,14	116,87	0,41	4,41	4,55	4,28	4,55	12,07	0,63	24,67	0,00	0,00	20,33	2,22	503,77	2752,18	323,80	1852,33	0,04	0,14	100,00	1,00	5,39	14,00	28,73	19,55	21,23	24,18	25,41	27,53	20,14	26,81	1,15	3,58	0,83	3,65	2009,83	-0,97	1,83	3,77
30	1	3	21,27	24,89	23,37	79,06	94,26	83,34	183,77	23,92	81,67	95,83	85,36	184,62	13,95	6,92	34,99	86,16	5,28	8,13	66,10	68,64	71,78	69,29	88,31	90,80	124,03	127,14	1,05	4,20	4,74	4,30	4,79	14,85	1,02	29,24	0,00	0,00	18,23	1,76	613,25	3526,14	355,74	2238,59	 	1,32	0,00	0,00	1,69	4,20	29,21	18,98	19,26	23,55	27,12	27,43	17,87	26,28	1,22	3,15	0,76	2,94	2009,52	-0,82	1,04	2,71
30	2	8	21,29	24,70	23,77	69,41	95,22	79,36	170,88	24,06	70,71	97,14	79,37	171,36	12,14	4,68	39,28	87,09	9,07	9,62	67,58	67,83	75,74	71,98	86,20	87,16	116,00	118,03	0,74	4,43	4,58	4,38	4,59	15,57	0,91	26,29	0,26	0,39	20,54	2,27	553,72	2961,76	308,88	1737,59	0,04	0,37	57,14	1,65	5,65	10,56	28,93	19,73	21,24	24,52	25,31	27,60	19,96	26,84	1,27	3,77	0,88	3,52	2009,70	-1,00	2,13	3,07
31	1	4	22,29	25,73	23,56	79,69	93,55	84,22	183,95	24,10	81,44	95,55	85,94	183,76	12,75	7,98	42,28	92,07	5,15	6,71	67,19	69,15	71,64	68,08	88,93	90,51	124,20	125,95	0,73	4,24	4,83	4,27	4,87	12,29	1,11	28,23	1,26	1,01	18,86	1,87	659,02	3728,97	361,41	2240,88	 	0,00	0,00	0,00	1,43	2,13	29,51	18,88	19,26	23,41	27,24	27,59	18,00	26,59	1,17	2,76	0,64	2,71	2009,70	-1,06	1,04	1,96
31	2	8	22,31	25,71	23,71	69,25	94,61	79,52	170,83	23,94	69,85	96,98	78,98	170,81	6,98	4,45	45,08	86,68	7,87	6,77	67,01	67,12	74,54	71,23	85,78	86,65	115,84	117,55	1,00	4,43	4,58	4,33	4,61	14,38	1,00	23,22	0,00	0,26	21,85	2,54	476,97	2579,82	287,14	1630,67	0,10	0,25	33,33	2,37	8,61	10,62	29,06	19,22	21,41	24,25	24,83	28,15	19,86	27,35	1,18	3,73	0,85	3,21	2009,73	-0,98	2,60	3,18
32	1	4	23,37	26,90	24,23	82,23	95,52	86,21	184,20	24,80	84,19	97,22	88,11	184,21	13,38	5,23	53,42	93,06	5,37	6,94	68,06	70,58	72,20	68,58	89,92	92,25	126,09	128,65	0,97	4,31	4,82	4,49	4,81	14,71	1,65	36,51	0,25	0,25	19,23	1,95	644,32	3544,23	321,64	1930,82	 	0,00	25,00	2,76	2,07	2,07	29,69	18,70	19,35	23,70	26,97	27,62	17,61	26,76	1,19	3,00	0,79	2,78	2009,67	-0,95	1,55	1,98
32	2	8	23,19	26,78	23,86	69,78	95,38	79,91	170,98	24,24	70,88	98,18	79,96	170,93	6,43	2,91	55,56	92,38	7,04	8,07	68,00	67,45	75,47	71,22	86,50	86,55	116,21	116,87	1,02	4,49	4,59	4,35	4,56	12,23	1,03	23,22	0,12	0,23	22,22	2,61	509,59	2744,29	288,85	1640,57	0,14	0,23	19,05	2,31	5,80	8,93	29,32	18,97	21,17	24,19	24,83	28,18	19,66	27,23	1,12	3,66	0,78	3,26	2009,70	-0,99	2,07	2,63
33	1	6	24,49	27,83	24,31	82,33	95,72	86,44	183,97	24,58	83,74	96,95	87,56	184,53	8,70	4,07	62,66	92,25	6,29	3,32	68,71	70,69	70,77	67,01	90,26	91,82	126,15	127,16	1,13	4,42	4,82	4,53	4,80	10,84	1,60	30,18	0,00	0,33	19,85	2,05	577,66	3284,53	359,65	2194,49	 	0,64	32,65	1,38	1,39	3,67	30,06	18,49	19,02	23,05	27,03	28,37	17,45	27,24	1,19	2,92	0,72	2,73	2009,72	-0,99	0,97	1,91
33	2	10	24,33	27,75	24,31	70,92	96,61	80,80	170,78	24,57	71,69	98,68	81,02	170,81	5,16	4,64	66,27	91,54	8,44	8,44	67,75	67,90	74,58	70,77	86,42	87,07	116,33	117,58	1,17	4,44	4,60	4,34	4,60	14,10	1,34	24,40	0,20	0,30	22,32	2,62	513,65	2732,52	293,73	1632,90	0,24	0,39	41,73	2,65	8,24	10,85	29,52	18,99	21,00	23,69	24,32	28,51	19,34	27,80	1,19	3,61	0,83	3,07	2009,71	-1,01	1,90	2,83
34	1	7	25,47	28,92	24,68	83,81	96,48	88,02	184,32	25,01	85,42	97,99	89,36	184,80	10,45	9,27	70,68	93,59	5,85	7,03	69,42	70,85	70,52	66,72	90,86	91,95	126,33	127,57	1,53	4,54	4,84	4,63	4,88	10,89	1,86	31,56	0,14	0,29	20,06	2,13	693,08	3812,65	339,86	2046,55	 	0,41	31,48	1,18	2,39	5,49	29,86	18,89	19,40	23,12	26,62	28,50	17,67	27,18	1,13	2,74	0,69	2,42	2009,76	-0,98	1,60	2,07
34	2	12	25,32	28,76	24,33	71,55	96,64	80,93	171,42	24,44	72,26	98,14	80,73	171,91	7,92	6,08	72,74	91,07	9,26	10,36	68,24	67,82	74,50	70,41	86,64	86,55	116,25	116,22	1,22	4,49	4,61	4,34	4,63	12,76	1,57	26,79	0,26	0,69	22,43	2,64	537,97	2884,62	265,92	1524,37	0,32	0,49	45,90	2,57	8,04	10,51	29,50	19,19	21,19	23,92	24,22	28,43	19,33	27,39	1,22	3,59	0,84	3,18	2009,76	-0,96	2,17	3,25
35	1	8	26,33	29,81	24,49	83,12	96,18	87,80	184,22	24,90	84,72	98,20	89,01	184,45	13,01	7,48	77,68	93,65	5,16	5,82	69,71	71,26	70,38	66,51	90,71	92,06	125,73	127,02	0,84	4,59	4,84	4,70	4,85	12,24	2,18	32,58	0,12	0,12	20,03	2,11	711,57	3937,58	311,36	1936,53	 	0,00	31,25	0,34	2,05	4,71	30,13	18,70	19,45	23,08	26,36	28,71	17,50	27,25	1,10	2,81	0,56	2,41	2009,85	-1,01	1,39	2,42
35	2	13	26,16	29,72	24,29	71,16	96,73	81,16	171,19	24,64	72,09	98,84	81,66	171,15	8,24	5,28	74,64	91,71	8,28	11,78	68,31	68,37	73,96	70,86	86,48	87,01	115,86	116,42	1,16	4,44	4,63	4,33	4,65	12,67	1,83	25,75	0,24	0,57	22,92	2,76	519,04	2776,86	259,21	1477,73	0,42	0,46	44,28	4,04	7,27	10,56	29,49	19,21	21,39	23,97	24,17	28,34	19,51	27,46	1,18	3,43	0,77	3,11	2009,79	-1,01	2,13	2,97
36	1	9	27,21	30,75	24,95	84,39	96,51	88,54	183,90	24,93	84,52	97,55	88,90	184,06	13,47	10,79	80,28	95,58	5,08	5,30	70,60	71,90	70,69	66,73	91,69	92,59	127,11	127,77	0,85	4,64	4,87	4,68	4,84	11,37	2,34	30,98	0,11	0,22	20,53	2,22	672,86	3723,89	309,75	1908,34	 	0,84	33,17	1,61	2,71	5,11	30,14	18,60	19,25	22,73	26,44	28,64	17,42	27,65	1,11	2,82	0,59	2,45	2009,83	-0,94	1,32	2,02
36	2	13	27,19	30,73	24,81	72,31	98,06	82,37	170,76	25,13	73,43	99,38	82,77	170,90	8,04	6,27	78,32	89,37	9,30	11,32	68,65	68,00	74,01	70,44	86,97	86,86	116,41	116,44	1,49	4,50	4,65	4,40	4,64	12,60	2,13	27,72	0,39	1,02	23,05	2,76	479,96	2564,39	232,08	1325,00	0,59	0,45	40,17	3,98	6,05	6,80	29,61	19,31	21,40	23,79	24,29	28,31	19,32	27,69	1,19	3,62	0,74	3,15	2009,80	-0,94	2,13	2,92
37	1	10	28,10	31,69	24,92	84,51	96,99	89,12	184,18	25,07	85,39	97,87	89,56	184,58	13,14	8,55	81,42	97,42	4,97	6,40	70,79	72,33	70,17	66,03	91,55	92,64	126,36	127,26	1,07	4,66	4,87	4,72	4,89	10,77	2,86	32,54	0,50	0,60	20,75	2,27	700,68	3808,79	302,42	1817,49	 	1,45	32,08	1,02	3,32	3,55	30,33	18,64	18,97	22,64	26,17	29,15	17,16	27,66	1,05	2,59	0,52	2,52	2009,70	-0,88	1,31	2,37
37	2	13	27,99	31,60	24,63	72,23	97,37	82,50	171,20	24,93	73,12	99,19	82,80	171,22	8,93	7,24	80,67	90,42	9,50	9,93	68,98	68,27	73,99	70,56	87,02	86,97	116,02	116,34	1,60	4,47	4,66	4,31	4,68	12,19	2,49	28,48	0,24	0,97	23,25	2,82	483,50	2574,69	244,02	1377,26	0,71	0,92	45,62	3,25	8,71	7,10	29,57	19,20	21,42	23,34	23,55	28,52	19,37	27,77	1,13	3,55	0,74	3,33	2009,61	-0,81	2,42	3,36
38	1	10	28,94	32,61	25,23	85,76	97,68	90,24	184,32	25,30	86,12	97,89	90,25	184,48	14,37	10,34	85,86	94,92	8,59	7,32	70,98	72,05	71,18	67,93	91,84	92,66	126,91	127,31	0,80	4,76	4,92	4,80	4,91	10,70	3,24	32,95	0,30	0,30	20,87	2,29	645,81	3497,26	272,51	1630,75	 	0,59	34,21	1,33	3,12	3,55	30,31	18,72	19,30	22,63	25,73	29,12	17,29	27,73	1,08	2,79	0,61	2,37	2009,49	-0,84	1,33	2,01
38	2	14	28,88	32,58	24,68	72,15	97,74	82,57	171,03	24,81	72,59	99,33	82,29	171,04	10,24	9,01	82,53	89,96	9,61	12,92	68,63	68,54	74,07	70,40	86,78	87,10	115,85	116,46	1,33	4,50	4,67	4,40	4,70	11,41	2,52	24,98	0,37	0,82	23,41	2,87	457,30	2432,77	238,63	1339,38	0,88	0,56	38,51	3,14	8,06	9,03	29,70	19,09	21,05	23,20	23,38	28,53	19,13	27,79	1,11	3,47	0,80	3,03	2009,52	-0,83	2,30	3,10
39	1	11	29,89	33,58	25,23	85,48	97,77	90,53	183,99	25,42	86,41	98,23	91,00	184,33	16,07	10,71	88,67	94,37	6,42	7,14	71,90	73,13	70,97	67,65	92,57	93,49	127,32	127,93	1,62	4,73	4,88	4,78	4,94	11,87	3,59	31,84	0,28	0,37	21,25	2,37	683,03	3689,97	267,37	1611,68	 	0,81	34,18	1,14	1,59	4,32	30,20	18,61	19,14	22,68	25,77	29,14	17,44	27,69	0,99	2,62	0,63	2,45	2009,54	-0,75	1,87	2,12
39	2	15	29,81	33,55	25,04	73,11	98,57	83,72	170,81	25,13	73,48	99,72	83,59	171,01	11,77	8,82	82,47	89,82	9,59	12,64	68,70	68,59	73,36	69,64	86,87	87,24	116,03	116,86	1,99	4,49	4,68	4,43	4,70	11,68	2,78	25,89	0,35	1,04	23,67	2,93	473,70	2514,80	231,02	1301,41	1,06	0,99	44,29	4,26	7,36	7,86	29,62	19,34	21,12	23,37	23,25	28,57	19,09	27,77	1,07	3,45	0,75	3,09	2009,45	-0,71	2,42	2,67
40	1	11	30,88	34,58	25,24	85,65	97,53	90,36	184,12	25,36	86,41	98,26	90,81	184,48	16,41	13,31	87,12	94,74	6,92	7,87	72,35	73,29	70,52	66,81	92,86	93,46	127,45	127,76	1,18	4,79	4,92	4,85	4,95	12,59	3,71	30,80	0,55	1,20	21,22	2,35	668,86	3613,53	277,55	1656,98	 	0,54	30,49	1,02	2,06	3,07	30,43	18,67	19,08	22,45	25,46	29,20	17,14	27,96	1,00	2,69	0,62	2,31	2009,55	-0,77	1,62	1,48
40	2	15	30,84	34,60	24,91	73,10	98,33	83,74	171,26	24,78	73,06	99,81	83,08	171,65	11,13	8,92	82,95	88,96	8,83	10,62	69,27	68,89	73,01	69,30	87,19	87,51	115,92	116,82	2,03	4,47	4,69	4,38	4,69	11,37	3,00	24,31	0,21	0,55	23,57	2,91	448,59	2399,18	241,23	1362,38	1,20	0,26	41,74	2,87	8,53	9,87	29,67	19,16	21,04	23,41	22,93	28,64	19,05	27,78	1,05	3,37	0,73	2,91	2009,50	-0,72	2,21	2,54
41	1	11	31,86	35,51	25,65	87,44	98,34	91,95	184,56	25,69	87,82	98,84	92,39	184,84	18,45	14,23	89,76	96,34	6,64	7,50	72,60	73,91	71,12	68,21	92,92	93,93	127,27	127,98	2,73	4,82	4,97	4,89	4,99	10,29	4,10	30,26	0,84	1,03	21,27	2,37	687,74	3682,59	253,90	1513,39	 	0,90	31,58	1,09	1,96	4,57	30,31	18,76	18,90	22,65	25,57	29,14	17,21	27,66	1,02	2,66	0,63	2,64	2009,51	-0,71	1,29	1,77
41	2	14	31,85	35,58	25,14	73,74	98,95	84,45	171,24	25,03	73,68	100,06	83,39	171,62	12,92	9,71	82,79	88,96	9,61	12,73	69,05	68,85	72,84	69,64	86,94	87,37	115,54	116,58	2,16	4,42	4,67	4,43	4,68	11,00	3,20	23,81	0,35	0,64	23,66	2,91	425,20	2238,43	216,39	1194,36	1,43	0,94	41,31	4,73	8,24	8,98	29,57	19,35	21,17	23,39	22,76	28,49	19,15	27,75	1,02	3,43	0,73	2,94	2009,52	-0,72	2,55	2,85
42	1	11	32,83	36,58	25,73	87,03	98,13	91,66	183,84	25,81	87,31	98,49	92,05	183,98	19,93	16,56	90,34	95,41	6,81	8,05	73,23	74,71	70,57	67,31	93,33	94,47	127,60	128,21	2,05	4,91	4,93	4,91	4,95	9,34	3,98	29,94	0,46	0,73	21,41	2,42	623,12	3341,25	264,53	1548,34	 	1,77	34,30	2,07	2,48	3,50	30,49	18,82	18,89	22,38	25,32	29,36	17,26	27,90	0,93	2,49	0,64	2,52	2009,47	-0,72	1,48	1,75
42	2	15	32,88	36,59	25,24	73,74	99,16	84,33	170,93	25,29	74,15	100,21	83,81	171,16	13,33	10,88	84,82	89,48	10,13	12,27	69,60	69,57	73,15	69,43	87,42	88,27	116,23	117,89	2,76	4,49	4,70	4,49	4,72	9,72	3,11	21,13	0,53	0,93	23,48	2,87	393,35	2099,20	217,56	1220,22	1,52	1,09	38,15	3,87	7,66	9,51	29,70	19,10	20,93	22,97	22,41	28,52	19,10	28,03	1,03	3,23	0,72	2,78	2009,54	-0,67	2,42	2,26
43	1	11	33,79	37,54	25,89	87,71	98,50	92,66	184,13	25,72	87,40	98,64	92,35	184,33	21,93	16,78	91,25	94,71	8,37	7,97	73,61	74,00	70,81	67,40	93,53	93,67	127,54	127,33	2,70	4,92	4,97	4,95	4,99	9,21	4,15	26,38	0,56	0,84	21,76	2,49	643,90	3452,26	240,56	1435,55	 	1,34	32,88	1,47	3,40	4,63	30,36	18,76	18,87	22,42	24,90	29,48	17,13	27,98	0,97	2,64	0,62	2,52	2009,40	-0,69	1,33	1,77
43	2	15	33,89	37,59	25,40	74,10	99,45	84,70	170,78	25,55	74,44	100,59	84,62	170,71	15,19	12,51	81,74	85,44	9,66	11,70	69,76	70,07	73,09	69,08	87,36	88,35	115,86	117,64	2,53	4,51	4,70	4,51	4,71	10,07	3,18	20,55	0,68	1,06	23,67	2,92	406,39	2129,63	234,01	1267,77	1,67	1,56	40,53	4,32	8,17	7,82	29,69	19,21	21,12	23,05	22,40	28,57	18,93	28,00	1,01	3,19	0,79	2,78	2009,49	-0,66	2,43	3,09
44	1	12	34,78	38,56	25,77	87,27	98,34	92,49	183,92	25,75	87,24	98,52	92,35	183,97	20,37	19,20	90,96	95,41	8,42	8,01	73,75	74,61	70,66	67,55	93,43	94,16	127,05	127,68	1,92	4,93	4,99	4,97	5,03	9,49	4,42	25,11	0,75	1,16	21,66	2,46	639,33	3392,05	237,16	1381,20	 	1,59	32,31	0,74	4,07	3,32	30,39	18,91	18,95	22,11	24,75	29,56	17,01	28,36	0,99	2,59	0,65	2,33	2009,45	-0,58	1,24	1,68
44	2	15	34,86	38,59	25,44	73,98	99,29	84,69	170,54	25,46	74,29	100,33	84,36	170,81	15,20	13,67	81,72	88,44	11,18	10,60	69,62	69,62	72,54	68,85	87,26	88,04	115,71	117,35	2,76	4,54	4,72	4,55	4,76	10,19	3,36	20,96	0,91	1,52	24,15	3,01	388,98	2060,91	242,07	1326,39	1,75	1,17	37,77	3,09	7,92	6,67	29,75	19,26	20,92	22,97	22,38	28,81	18,83	28,12	0,96	3,18	0,74	2,63	2009,50	-0,60	2,26	2,86
45	1	12	35,85	39,56	26,08	88,59	98,98	93,33	184,22	25,90	88,17	98,79	92,80	184,43	21,86	16,35	91,07	94,86	7,58	7,70	74,59	75,62	70,74	66,98	94,16	95,30	127,62	128,83	2,49	5,06	4,99	5,04	5,02	9,27	4,46	24,87	0,68	1,10	21,88	2,51	559,16	2983,00	235,67	1365,51	 	1,98	29,25	0,93	3,35	3,69	30,50	18,62	18,70	22,07	24,69	29,71	16,84	28,38	0,94	2,47	0,55	2,33	2009,42	-0,58	1,16	1,92
45	2	15	35,81	39,58	25,78	74,78	99,92	85,36	170,29	25,80	74,70	100,77	84,61	170,17	15,35	12,29	84,17	89,41	10,88	11,75	70,47	70,05	73,20	69,25	88,25	88,60	116,89	117,97	3,03	4,58	4,73	4,56	4,77	9,57	3,14	19,41	0,66	1,45	24,15	3,01	385,80	2038,63	232,65	1272,87	1,78	1,57	37,77	3,08	6,34	7,75	29,73	19,20	20,63	23,10	22,04	28,78	18,85	28,05	0,96	3,09	0,71	2,75	2009,42	-0,62	2,33	2,48
46	1	13	36,82	40,53	26,15	88,68	98,94	93,47	184,07	26,05	88,15	99,15	93,24	183,86	23,01	20,71	91,86	94,47	9,33	11,77	74,33	75,41	70,39	66,60	93,85	94,57	127,14	127,65	3,63	5,03	5,07	5,09	5,08	9,86	5,02	25,70	1,40	2,11	21,96	2,52	622,97	3313,90	221,04	1304,26	 	1,80	27,05	1,66	3,19	3,66	30,43	18,76	18,76	22,42	24,55	29,57	17,08	28,29	0,92	2,57	0,56	2,37	2009,47	-0,60	1,27	2,08
46	2	15	36,87	40,58	25,59	74,49	99,91	85,29	170,56	25,69	74,96	100,93	84,77	170,80	17,15	13,68	82,99	88,95	9,27	10,39	70,39	70,35	72,17	68,91	87,97	89,06	116,42	118,90	3,14	4,58	4,71	4,63	4,76	10,25	3,56	19,08	0,49	0,98	23,98	2,99	381,16	2016,95	221,91	1220,74	1,87	2,09	35,27	3,22	6,96	6,07	29,59	19,32	20,71	22,97	22,11	28,81	18,83	28,12	0,96	3,11	0,72	2,66	2009,48	-0,56	2,46	2,64
47	1	14	37,83	41,60	26,50	89,70	99,42	94,60	183,95	26,40	89,57	99,56	94,54	184,18	25,09	21,94	91,67	96,01	7,68	7,86	75,55	76,69	70,97	67,82	94,85	95,85	128,05	128,97	3,30	5,14	5,04	5,14	5,08	9,24	5,47	25,82	1,01	2,08	21,58	2,43	626,98	3342,33	219,28	1303,83	 	1,82	30,86	1,84	2,95	2,62	30,26	18,91	18,86	22,31	24,43	29,66	16,98	28,33	0,96	2,51	0,64	2,19	2009,44	-0,57	1,38	1,50
47	2	15	37,83	41,59	25,83	75,07	100,12	85,78	170,50	26,05	75,66	101,48	85,61	170,46	19,62	17,08	82,02	88,16	10,17	11,41	70,69	70,65	72,70	69,27	88,35	89,19	116,96	119,03	4,07	4,67	4,75	4,67	4,83	9,97	3,95	20,01	0,66	1,22	23,95	2,98	393,13	2065,95	227,29	1236,73	1,89	2,20	35,57	3,25	7,61	6,80	29,64	19,16	20,62	22,85	21,83	28,79	18,77	28,04	1,03	3,01	0,77	2,57	2009,43	-0,58	2,22	2,34
48	1	15	38,80	42,53	26,59	89,82	99,23	94,88	183,80	26,57	89,83	99,28	94,94	183,92	24,81	23,21	91,67	93,65	8,96	9,00	75,94	76,87	70,93	67,42	95,16	95,84	128,22	128,84	4,31	5,13	5,10	5,14	5,16	9,97	5,68	26,15	1,58	2,57	21,56	2,43	609,43	3237,23	225,07	1315,38	 	2,49	30,36	1,35	3,94	3,51	30,27	18,97	18,76	22,19	24,40	29,65	17,09	28,30	0,97	2,43	0,66	2,35	2009,42	-0,61	1,27	1,47
48	2	15	38,78	42,49	25,95	75,05	100,28	86,14	170,09	26,01	75,31	101,27	85,62	170,17	21,07	18,56	82,32	88,29	9,62	10,56	71,15	71,20	72,58	69,34	88,95	89,86	117,84	120,01	4,17	4,70	4,79	4,74	4,82	9,69	4,08	20,10	0,74	1,40	23,95	2,97	387,93	2041,57	233,29	1268,39	1,91	1,95	33,94	2,94	7,61	6,47	29,57	19,24	20,66	22,85	21,65	28,85	18,91	28,21	1,04	3,04	0,76	2,61	2009,44	-0,55	2,45	2,71
49	1	15	39,78	43,52	26,71	90,16	99,57	95,34	183,67	26,47	89,40	99,33	94,82	183,74	27,28	23,83	92,48	93,50	8,24	8,34	76,56	77,01	70,45	67,25	95,62	96,04	128,60	129,00	4,64	5,16	5,10	5,13	5,16	9,58	5,93	26,06	1,09	2,29	21,70	2,47	659,19	3484,24	236,40	1370,30	 	2,72	27,99	1,09	2,92	2,88	30,37	18,95	18,72	22,07	24,15	29,91	17,01	28,54	1,00	2,47	0,66	2,25	2009,47	-0,58	1,46	1,74
49	2	15	39,74	43,51	25,81	75,13	100,13	85,90	170,59	26,14	75,97	101,60	86,32	170,49	21,12	19,35	81,03	86,56	10,80	14,17	71,38	71,63	72,09	69,55	89,09	90,54	118,03	121,09	5,23	4,73	4,78	4,78	4,83	9,50	4,46	19,97	1,12	1,78	24,24	3,04	413,41	2176,50	242,65	1322,71	1,92	3,00	34,11	4,06	9,34	8,03	29,59	19,10	20,59	22,85	21,59	28,93	18,77	28,03	1,04	3,05	0,77	2,56	2009,40	-0,52	2,31	2,52
