ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
8408	56,72	43,28	1	8	45,15	49,78	25,41	77,49	97,29	173,91	87,63	25,71	79,56	99,70	175,44	88,01	30,65	25,00	72,41	75,00	9,84	13,64	71,60	73,38	68,21	64,15	91,21	94,27	122,69	127,56	6,15	5,16	4,93	5,24	4,77	8,33	4,71	14,52	2,99	2,99	24,86	3,14	538,75	2847,00	253,71	1421,82	2,00	8,96	55,56	5,56	8,11	2,70	28,71	20,47	20,54	22,47	21,25	28,30	18,70	27,95	1,13	3,37	0,82	1,66	2009,34	0,39	3,98	3,14
8409	57,35	42,65	1	8	43,00	46,34	25,39	78,01	96,70	174,94	88,77	25,77	78,61	99,61	174,47	90,10	24,24	20,00	76,56	82,22	7,81	6,67	73,82	73,98	71,93	67,17	93,15	94,19	126,16	127,26	5,97	5,14	4,84	5,10	4,87	7,81	5,32	20,63	0,00	0,00	24,41	3,03	552,88	2865,90	253,60	1369,50	1,94	7,46	34,09	2,44	0,00	2,44	29,63	18,71	19,35	22,08	22,98	29,65	17,67	27,90	0,72	2,34	0,89	1,57	2009,88	0,61	1,56	1,28
8411	59,66	40,34	2	8	44,10	51,12	27,48	84,02	100,75	174,57	94,03	26,54	79,90	99,81	173,19	91,39	43,88	41,51	77,49	67,92	12,02	9,43	74,25	73,87	72,32	69,35	93,49	95,58	124,43	131,69	12,88	5,13	5,06	5,04	5,24	10,30	7,31	25,99	4,39	6,14	22,10	2,57	291,43	1545,27	191,34	1044,85	2,10	8,44	32,26	4,26	8,70	6,52	29,39	18,67	20,08	22,64	22,05	29,40	18,22	28,13	1,11	2,41	0,85	1,25	2009,97	-0,97	1,54	2,48
8412	56,86	43,14	1	7	41,11	45,57	25,56	78,85	96,56	175,26	87,72	25,60	79,87	99,74	176,68	89,98	37,89	37,74	86,81	76,92	11,70	5,66	72,55	72,82	68,31	64,90	91,26	92,30	121,69	124,92	5,21	4,91	4,92	5,07	4,82	8,60	5,37	22,22	2,00	3,00	22,48	2,60	499,80	2605,32	171,33	962,97	2,18	4,90	28,95	6,00	2,00	4,00	29,25	18,72	19,86	21,93	21,51	29,49	17,91	27,64	1,00	2,33	0,71	1,94	2009,96	0,10	1,53	1,33
8414	55,07	44,93	1	10	51,65	59,72	26,68	80,51	101,04	173,23	92,28	27,01	78,58	101,24	169,91	92,18	30,77	42,86	60,00	57,14	16,92	14,29	73,51	73,05	70,41	69,89	93,77	95,29	126,28	133,37	15,94	5,12	4,96	5,34	5,14	7,81	6,38	20,00	4,41	4,41	24,73	3,03	499,75	2514,81	282,92	1430,66	2,26	9,09	40,00	6,25	3,23	12,90	30,15	18,93	18,81	21,94	21,37	30,43	17,72	28,22	1,18	1,92	0,88	1,45	2009,77	-0,76	1,08	1,59
8421	61,24	38,76	1	8	43,16	46,56	25,95	80,25	98,88	175,51	89,17	26,13	80,04	100,74	174,74	89,87	21,26	20,25	81,10	82,50	4,76	7,50	71,95	73,23	69,40	66,88	90,07	93,02	120,12	125,74	8,59	5,02	4,93	5,14	4,84	11,02	4,05	9,02	2,40	3,20	23,36	2,81	189,09	1047,94	186,68	1035,90	2,26	4,65	25,35	4,29	4,35	2,86	29,91	17,89	20,03	21,90	21,60	29,26	17,69	28,39	0,94	2,55	0,78	2,26	2010,00	0,18	0,57	1,05
8423	58,99	41,01	1	8	43,74	48,06	25,09	78,26	96,66	176,37	86,60	25,19	77,67	98,59	175,47	86,96	17,39	15,05	81,95	81,72	6,67	6,45	72,30	72,13	68,71	67,15	90,74	92,33	121,36	125,08	3,65	5,14	4,92	5,06	4,84	6,72	6,08	21,21	0,74	0,74	24,29	3,02	344,72	1796,87	274,80	1447,28	2,16	6,52	34,25	4,41	4,41	10,29	30,22	18,24	18,85	21,98	22,58	29,73	17,44	28,52	0,95	1,98	0,68	1,83	2010,00	-0,19	0,94	1,71
8424	60,49	39,51	1	8	45,90	49,73	26,58	83,04	99,64	176,52	91,46	26,65	82,66	102,09	175,87	93,00	28,40	35,00	76,25	76,67	13,58	11,67	73,63	72,85	69,27	67,89	92,49	92,86	124,02	125,80	18,52	5,30	4,84	5,27	4,88	4,94	4,69	20,00	3,85	3,85	22,08	2,51	280,79	1525,21	194,29	1092,71	2,13	4,94	20,51	2,00	10,20	4,08	29,19	18,90	20,53	22,94	22,71	29,20	18,39	27,79	0,72	2,43	0,64	1,69	2009,95	-1,19	1,95	0,97
8425	56,90	43,10	1	9	46,57	51,20	25,45	77,91	97,16	174,94	87,75	26,19	79,58	100,76	174,51	90,90	22,41	14,63	82,46	75,61	1,75	4,88	74,74	75,98	71,05	69,58	93,28	96,28	124,52	130,74	13,79	5,40	4,83	5,40	5,02	5,36	4,88	19,30	1,72	3,45	24,75	3,15	677,12	3480,80	245,30	1321,70	2,06	12,07	21,21	0,00	0,00	7,14	30,15	17,91	18,91	21,55	21,49	30,37	17,74	29,08	1,04	1,81	0,73	1,46	2010,00	0,66	0,50	0,37
8426	58,90	41,10	6	8	43,97	49,47	26,01	78,67	98,83	173,46	88,80	26,23	79,14	100,11	173,50	90,06	37,72	36,75	72,54	71,99	10,24	11,75	73,14	74,72	69,02	67,58	91,90	95,37	123,50	129,63	12,77	5,09	4,99	5,14	5,06	9,57	7,07	20,63	2,66	4,32	23,60	2,90	645,39	3325,37	278,71	1491,96	1,87	5,85	37,65	3,40	6,90	5,28	29,61	18,81	19,42	22,07	21,72	29,47	18,28	28,50	0,96	2,27	0,67	1,98	2009,99	-1,18	1,46	1,61
