ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
8472	58,91	41,09	1	8	42,31	48,68	25,78	80,32	99,02	176,41	88,78	26,02	80,73	100,85	176,14	88,07	26,56	34,48	89,60	82,76	8,66	15,52	73,22	75,55	71,22	68,79	92,85	96,72	124,10	132,55	5,51	5,04	4,92	5,09	4,83	4,72	3,70	6,56	2,40	2,40	23,43	2,86	310,12	1692,48	244,96	1366,69	2,00	3,88	20,25	4,76	4,88	0,00	29,96	18,73	20,05	21,97	23,25	29,00	18,24	28,16	0,71	2,02	0,80	1,81	2010,00	-2,03	2,02	1,89
8474	56,73	43,27	1	8	42,30	46,06	24,72	75,02	96,35	173,74	86,85	24,81	76,48	98,16	175,49	86,63	31,88	20,69	80,25	81,03	7,59	17,24	70,49	71,82	72,12	68,08	89,84	92,72	120,71	126,69	5,99	5,00	4,88	4,88	4,78	10,13	4,65	17,53	1,19	1,79	23,44	2,82	351,11	1960,20	272,74	1568,33	2,20	7,02	30,38	2,94	8,82	2,94	29,61	18,75	20,37	21,95	23,32	29,66	17,92	28,59	1,17	2,42	0,86	2,19	2010,00	0,25	1,54	3,01
8475	60,00	40,00	1	8	43,12	48,00	26,97	85,45	100,66	177,89	92,89	27,58	87,39	105,09	177,83	94,37	28,00	28,57	87,76	80,95	4,08	0,00	71,94	71,57	70,46	66,43	91,84	92,48	123,70	126,74	4,00	5,26	5,14	5,33	4,91	8,16	4,82	10,42	8,33	8,33	24,57	3,04	388,62	1917,98	241,19	1180,83	2,41	6,00	31,25	0,00	0,00	0,00	29,89	18,06	20,53	21,35	20,00	30,13	17,26	28,66	0,79	2,23	0,38	1,60	2010,00	-0,25	0,58	0,71
8491	56,38	43,62	1	8	45,77	52,34	25,70	78,81	98,73	174,66	90,66	25,42	76,40	98,66	173,14	88,72	21,74	28,81	75,28	69,49	6,59	11,86	73,24	74,42	71,23	69,91	93,35	96,38	125,33	133,29	16,30	5,04	4,98	5,03	4,94	4,44	7,83	19,78	4,30	5,38	25,27	3,21	362,41	1969,88	188,39	1099,76	1,72	8,51	25,00	4,00	2,04	4,08	29,19	18,95	20,02	22,70	22,24	29,11	18,75	27,64	1,00	2,37	0,81	2,02	2009,83	-2,06	1,88	1,68
8495	53,45	46,55	1	8	45,48	51,82	25,83	78,66	98,57	174,24	89,51	25,75	78,69	99,19	174,74	88,96	34,55	36,11	64,81	65,71	10,91	13,89	72,97	72,89	71,22	68,32	92,97	93,57	124,74	128,11	21,05	5,16	4,96	5,22	5,28	7,27	7,26	20,75	7,14	10,71	24,60	3,13	492,72	2706,41	212,39	1304,78	2,26	5,17	100,00	10,00	10,00	6,90	27,46	19,17	21,38	22,96	21,98	27,92	19,88	27,19	0,94	2,27	0,85	1,94	2009,93	-1,26	1,04	2,20
8501	64,31	35,69	2	9	48,47	55,71	25,58	77,06	99,15	173,21	89,56	25,43	76,58	99,74	173,28	88,46	35,63	34,09	62,56	52,27	8,44	9,77	71,97	73,85	71,00	69,84	92,98	95,24	125,99	131,37	17,41	5,16	4,99	5,19	4,98	9,32	6,57	18,72	3,63	4,03	24,53	3,07	440,31	2301,50	312,67	1663,29	2,23	9,06	25,00	1,92	7,69	6,60	29,00	18,84	20,17	22,46	22,47	28,93	18,81	28,00	1,00	2,19	0,91	1,83	2009,69	-0,72	1,39	2,25
8502	56,92	43,08	1	9	48,13	53,65	24,66	74,93	96,83	173,91	86,74	24,77	75,24	97,62	174,02	85,69	20,97	22,86	64,46	66,67	3,28	7,25	72,01	73,48	69,90	68,15	91,70	94,29	123,16	129,82	16,28	5,08	4,88	5,09	4,94	13,93	4,79	10,08	0,78	2,34	25,07	3,26	474,52	2544,43	333,76	1840,60	2,28	6,98	100,00	3,45	5,26	1,72	30,17	17,87	19,55	22,21	22,52	29,13	17,96	29,12	0,84	1,73	0,65	1,84	2009,66	1,18	1,06	1,65
8521	60,74	39,26	1	9	46,39	52,27	25,29	76,93	98,25	173,69	88,48	25,45	76,60	99,51	173,16	87,02	27,34	26,98	69,67	61,29	7,32	9,52	71,60	72,61	71,00	66,18	91,35	93,74	123,40	128,58	9,92	5,29	4,98	5,35	5,11	4,10	5,70	16,94	2,99	4,48	24,43	3,05	533,27	2903,75	295,85	1716,65	2,37	10,37	 	0,00	5,00	3,23	29,36	18,97	20,14	22,97	23,58	29,24	18,69	27,78	1,04	2,03	0,95	1,78	2009,85	-0,81	0,82	0,51
8531	67,54	32,46	1	9	49,49	57,11	26,01	77,32	99,31	172,09	89,69	26,42	77,15	100,05	170,72	89,82	44,25	40,00	57,80	65,45	10,91	14,55	71,33	74,28	72,82	69,75	91,56	96,11	124,19	133,06	21,05	5,25	5,07	5,25	5,07	7,27	6,12	23,21	4,39	7,02	24,57	3,21	550,89	2864,54	303,46	1627,36	2,11	14,04	0,00	5,66	3,85	1,89	29,44	18,70	19,25	22,13	22,24	29,79	18,49	28,16	1,06	2,17	1,21	1,72	2009,93	-0,87	1,92	2,29
8551	58,66	41,34	2	8	41,45	46,31	25,14	77,19	98,23	174,63	88,10	25,04	77,09	98,67	175,08	87,30	31,65	28,97	80,00	80,00	9,70	13,70	72,67	74,22	70,64	66,66	92,36	93,83	124,94	126,96	9,80	5,02	4,95	5,05	4,87	8,05	6,28	27,78	1,60	2,00	21,99	2,53	680,18	3530,10	212,76	1193,02	1,95	3,54	34,67	3,82	3,82	9,23	29,52	18,99	19,50	22,59	23,25	29,86	18,07	28,02	1,06	2,44	0,80	2,21	2009,84	0,10	1,21	2,78
8556	53,24	46,76	1	8	45,87	52,83	25,91	79,62	100,01	175,34	90,96	25,67	78,83	100,26	175,26	89,26	38,24	36,78	68,66	63,22	4,44	6,82	72,87	73,01	70,06	68,58	92,58	93,35	125,54	127,11	15,83	5,20	4,89	5,16	4,90	2,96	8,12	23,13	3,60	5,04	22,65	2,77	401,48	2157,83	247,00	1385,40	2,27	5,80	30,00	5,19	3,85	6,41	29,15	18,96	20,18	23,05	22,84	28,78	18,93	27,44	1,14	2,34	0,76	1,96	2009,97	0,34	1,89	2,86
8561	57,90	42,10	6	8	44,29	49,27	25,20	77,19	98,23	174,31	88,83	25,35	78,37	99,37	175,45	88,89	32,14	31,06	72,31	72,99	5,90	11,06	71,25	72,80	69,31	65,86	90,83	93,33	123,05	127,30	14,71	5,01	4,98	4,99	4,96	5,91	6,02	21,87	3,44	4,59	23,83	2,93	531,82	2755,02	260,92	1400,50	2,17	6,15	31,19	1,36	4,66	3,27	29,49	18,76	19,93	22,28	22,52	29,20	18,62	28,15	0,96	2,21	0,69	1,76	2009,88	-1,52	1,36	1,61
8563	53,85	46,15	1	9	48,40	54,02	24,89	76,93	98,26	175,55	89,42	25,63	79,58	100,13	175,99	91,17	33,99	35,00	64,24	66,00	9,27	12,00	72,13	74,60	68,77	66,25	92,13	95,31	125,11	130,67	19,23	5,15	4,96	5,17	5,00	10,00	5,85	17,45	6,45	7,74	23,18	2,75	513,33	2612,99	256,71	1329,90	2,57	12,82	29,63	0,00	3,45	2,27	29,24	18,30	19,67	22,11	21,61	29,21	18,07	28,41	1,03	2,01	0,71	1,48	2009,97	0,23	0,95	0,93
8565	48,91	51,09	1	8	45,14	50,09	25,50	77,36	97,79	173,19	89,47	25,64	78,66	99,42	174,81	89,48	38,55	40,00	75,90	70,77	8,43	12,12	71,71	72,86	68,77	66,60	91,17	93,65	123,88	128,05	12,36	5,02	5,08	5,27	4,93	4,82	4,88	24,10	7,61	7,61	23,84	2,91	567,19	2859,00	258,75	1316,80	2,72	3,30	23,40	3,64	3,57	1,79	29,47	18,61	19,61	21,74	22,00	29,93	17,64	28,92	0,99	1,94	0,83	1,63	2009,91	-1,11	0,51	0,25
8566	55,23	44,77	1	9	45,73	51,66	25,32	76,54	97,53	173,67	89,17	25,59	77,01	98,53	173,32	89,70	37,87	48,72	69,28	74,36	10,18	10,26	72,62	74,01	68,72	67,05	92,59	94,41	125,30	128,80	15,29	5,02	5,05	4,83	4,93	4,19	4,27	12,80	1,20	2,41	23,08	2,82	585,30	2973,35	267,25	1383,08	2,58	6,40	32,99	1,92	4,85	0,96	29,15	19,00	20,59	22,37	21,95	29,27	18,75	28,12	0,74	2,20	0,63	1,96	2009,91	-0,19	1,37	1,74
8567	56,70	43,30	2	8	44,80	49,82	25,40	77,27	98,63	173,88	88,72	25,52	78,26	100,00	174,74	89,50	39,68	37,20	68,75	72,78	7,44	8,33	71,54	73,34	69,21	67,42	91,46	93,18	123,90	126,84	16,53	5,08	4,93	5,06	4,97	10,33	5,57	12,97	2,77	3,97	22,51	2,64	602,35	3120,92	270,62	1462,25	2,38	7,28	28,68	3,31	2,70	6,67	29,33	18,66	20,00	22,09	21,88	29,73	18,27	28,39	0,97	1,88	0,69	1,65	2009,86	-0,90	1,35	0,91
8571	59,22	40,78	1	9	46,63	52,73	25,08	76,25	98,09	173,90	88,09	25,33	77,05	99,56	174,00	88,57	37,00	34,72	71,88	63,38	4,12	5,56	72,69	72,46	68,02	64,97	91,94	92,72	123,77	126,25	10,00	5,12	4,86	5,18	4,85	9,28	3,88	12,24	1,94	3,88	22,53	2,66	520,27	2704,88	233,39	1270,48	2,57	4,85	18,87	1,56	0,00	9,38	29,57	18,80	20,42	22,78	21,70	29,51	17,81	27,53	1,07	1,67	0,65	1,04	2009,92	0,69	0,88	1,02
8574	63,41	36,59	1	8	41,56	46,35	25,06	75,65	98,40	173,53	87,35	25,28	76,61	99,56	173,91	87,42	36,71	36,54	75,32	73,08	5,13	11,54	71,59	72,39	70,95	65,59	91,11	92,43	123,09	125,30	11,39	5,13	4,86	5,06	4,84	8,97	4,70	19,44	1,28	2,56	23,10	2,74	457,68	2355,30	204,43	1089,07	1,74	8,54	35,29	2,27	4,44	6,67	28,61	18,82	20,30	22,86	23,48	29,23	18,24	27,29	1,04	2,22	0,90	1,67	2009,37	-1,24	0,73	0,71
8581	57,53	42,47	1	8	41,97	47,16	24,68	76,49	98,33	175,61	87,59	24,68	76,34	98,31	175,48	87,72	30,00	26,09	76,81	80,43	4,35	4,35	71,51	73,36	66,10	66,88	90,93	92,28	122,66	123,76	7,04	4,85	4,82	5,04	4,81	5,80	4,62	20,59	0,00	1,45	21,97	2,52	498,72	2705,56	249,72	1460,56	2,06	1,39	23,33	0,00	4,88	2,44	28,76	18,68	20,77	22,29	22,84	28,71	19,26	28,37	0,82	2,05	0,67	1,91	2009,95	0,28	1,03	2,63
8582	65,63	34,38	1	8	41,75	49,90	24,84	76,84	98,77	175,44	88,10	25,88	79,97	100,60	175,62	90,17	26,98	27,78	77,42	78,38	14,29	8,11	70,83	72,97	68,45	63,18	90,05	92,38	120,88	124,41	17,19	5,05	4,96	5,40	5,11	6,35	4,64	17,24	3,39	3,39	23,30	2,70	648,04	3293,92	284,71	1477,25	2,00	3,13	20,00	0,00	6,06	8,82	29,12	19,32	19,88	22,17	22,53	29,41	18,51	28,14	0,78	2,39	0,70	1,65	2009,88	-0,78	1,82	2,16
8584	54,55	45,45	1	8	43,56	51,15	24,72	78,23	98,82	177,20	87,45	24,93	79,30	99,88	178,21	88,11	22,22	20,93	76,19	83,72	1,59	2,33	70,85	73,62	69,83	65,53	90,98	94,09	123,92	128,06	4,69	4,99	5,04	5,11	4,77	4,76	4,04	23,33	4,76	6,35	25,33	3,30	421,71	2151,73	295,04	1518,37	2,55	6,06	27,78	2,70	5,26	7,89	30,15	18,30	19,02	22,18	21,51	29,49	17,53	28,40	0,88	2,23	0,67	1,70	2009,76	-0,85	0,91	0,92
8601	56,51	43,49	2	9	44,96	51,21	24,65	74,86	97,85	173,57	86,77	24,89	76,13	98,40	174,54	87,28	34,17	29,19	40,69	60,74	12,50	9,82	72,20	73,38	72,25	70,85	92,70	94,58	126,41	129,32	15,54	5,10	4,96	5,15	5,01	6,28	9,43	28,25	3,95	5,16	24,95	3,12	508,20	2695,51	307,05	1689,73	1,80	8,61	34,52	1,38	3,55	4,20	29,58	19,37	19,14	22,48	22,44	29,40	18,43	27,83	1,10	2,20	0,77	1,88	2008,32	0,10	1,48	2,37
8602	58,76	41,24	3	8	40,23	46,83	25,32	77,36	98,83	174,31	87,54	25,74	79,19	100,45	175,26	88,47	34,62	34,13	52,50	73,43	8,85	14,42	72,10	73,18	73,14	69,97	92,21	93,29	125,16	126,85	10,54	4,91	5,06	5,11	5,16	8,26	6,35	25,48	4,39	6,43	22,99	2,78	606,23	3167,60	337,39	1823,39	1,64	4,89	40,00	2,34	4,14	8,67	29,25	18,92	19,47	23,03	23,07	28,48	18,88	27,73	1,29	3,05	0,82	2,19	2007,69	-1,20	2,05	1,64
8603	57,59	42,41	4	9	45,12	50,44	25,29	76,61	98,99	173,50	88,29	25,76	78,61	100,17	174,48	89,37	31,12	28,46	54,23	65,48	7,24	8,70	73,37	74,14	72,68	69,61	93,11	94,71	126,20	128,61	17,60	5,06	5,10	5,11	5,06	7,77	7,83	19,56	3,27	5,03	24,11	3,04	564,42	2917,66	378,42	1987,64	2,06	9,07	28,83	0,88	3,13	5,29	30,00	18,35	18,83	22,34	22,66	29,70	18,02	28,26	1,02	2,08	0,89	1,98	2008,06	0,53	1,52	1,15
8604	58,19	41,81	4	9	46,21	51,86	24,83	75,73	98,38	173,94	87,66	24,92	76,57	99,09	174,99	87,75	26,10	24,81	40,43	58,56	11,49	11,36	72,49	72,71	72,06	69,94	92,22	93,96	125,09	129,29	15,40	4,98	5,04	5,09	5,05	7,11	5,77	12,47	4,45	4,45	25,28	3,25	454,57	2413,28	341,16	1846,24	2,14	8,26	29,82	4,51	6,97	5,33	29,74	18,37	19,29	21,92	21,82	29,34	18,38	28,47	0,90	1,90	0,80	1,74	2008,23	0,43	1,12	1,24
8605	57,47	42,53	1	9	47,48	53,16	25,81	78,13	100,50	173,74	90,78	26,18	78,63	100,76	173,47	90,49	41,92	38,46	41,58	56,19	6,67	6,67	72,33	72,60	73,31	70,59	92,61	94,05	126,27	129,39	19,41	5,19	5,04	5,14	5,05	12,73	8,78	20,65	4,32	6,17	24,41	3,08	580,43	2989,24	315,79	1666,05	1,93	14,45	35,48	6,67	4,60	4,40	29,30	19,29	19,61	22,86	23,03	29,31	18,76	27,89	1,23	2,76	0,93	1,83	2008,11	-1,61	1,31	1,28
8606	62,50	37,50	2	9	44,98	51,43	26,03	77,88	100,06	172,83	90,29	26,09	77,99	100,30	172,78	90,46	44,76	38,46	54,10	58,78	13,24	19,08	71,87	72,32	72,81	71,51	91,56	93,49	124,13	128,66	19,63	5,09	5,17	5,12	5,13	10,29	8,02	26,29	7,88	9,85	23,52	2,80	594,13	3108,44	279,29	1534,26	1,67	10,23	45,95	3,64	5,61	9,91	28,97	19,24	19,85	23,01	22,88	28,45	18,81	27,40	1,38	2,54	0,87	2,05	2008,15	-2,46	0,87	0,79
8607	56,56	43,44	5	8	43,50	49,95	25,21	75,81	98,11	172,59	87,73	25,32	76,75	98,94	173,64	88,00	34,93	30,03	49,58	62,74	9,00	10,51	72,62	74,03	73,06	69,98	92,18	94,45	124,60	128,58	14,95	4,94	5,07	5,09	5,10	10,06	7,67	24,78	4,07	6,31	23,74	2,95	545,83	2871,92	316,64	1725,98	1,99	6,20	35,05	2,79	3,83	4,86	29,96	18,80	19,06	22,51	22,66	29,53	18,07	28,53	1,01	2,22	0,84	1,99	2007,84	-0,42	1,21	2,01
8608	56,70	43,30	3	9	45,28	51,31	25,82	76,82	98,96	171,90	89,55	26,20	78,57	100,46	173,02	90,61	48,34	43,37	51,96	61,93	11,73	10,50	73,50	74,36	73,10	71,01	94,09	95,85	128,46	132,10	17,06	5,07	5,15	5,09	5,18	10,53	8,83	26,86	6,63	9,97	23,26	2,82	641,04	3316,24	337,67	1799,39	1,92	10,83	30,00	2,15	7,14	6,45	29,35	18,94	19,61	22,18	22,31	29,46	18,49	28,03	1,26	2,23	1,01	1,72	2008,06	-1,61	1,85	2,64
8614	53,16	46,84	1	8	38,73	44,77	24,53	77,35	97,61	176,60	87,72	24,90	79,43	98,83	178,03	88,57	33,33	27,78	68,75	80,00	9,33	7,27	72,91	73,75	70,92	66,07	93,04	94,43	127,04	129,92	7,79	4,83	4,82	5,03	4,87	9,33	5,77	27,54	0,00	0,00	22,19	2,69	640,30	3350,16	242,13	1359,34	2,08	3,80	27,50	0,00	2,04	6,00	29,01	18,76	19,94	22,42	22,53	28,55	18,41	27,82	0,61	2,15	0,62	2,13	2006,76	0,14	1,14	1,94
8615	60,53	39,47	1	8	41,29	47,96	24,57	75,95	99,07	175,05	87,38	24,54	75,40	99,00	174,96	87,22	24,66	34,78	80,00	84,78	5,63	0,00	71,97	72,02	69,41	66,77	91,26	91,54	122,75	123,58	4,11	5,01	4,83	5,11	4,78	7,14	3,31	12,50	0,00	1,33	23,14	2,86	657,07	3444,26	197,28	1145,33	1,93	0,00	24,00	0,00	7,50	4,88	29,17	19,38	20,69	22,31	22,94	29,06	19,16	28,21	0,78	2,25	0,91	2,04	2009,74	-1,42	1,61	2,04
8618	41,18	58,82	1	7	38,92	43,98	23,66	73,67	95,90	175,95	84,04	23,96	75,71	97,09	177,52	84,10	20,00	17,14	50,00	80,00	6,67	11,43	72,75	72,76	71,43	64,68	91,59	92,34	123,18	124,54	2,00	4,84	4,93	4,86	4,96	6,67	4,43	14,29	0,00	1,96	23,33	2,89	771,00	3924,64	378,21	1960,71	1,90	3,92	53,85	3,13	6,25	3,13	29,68	19,27	20,15	22,98	23,05	29,54	18,10	27,68	0,70	2,67	0,74	2,34	2007,73	0,19	0,32	0,00
8621	61,25	38,75	2	8	38,81	44,43	24,45	75,55	97,96	175,26	86,31	24,84	76,84	98,67	175,67	86,36	27,41	22,11	62,16	86,91	5,43	6,84	71,66	72,40	70,75	66,92	90,99	92,30	122,49	124,67	6,77	4,95	4,81	5,12	4,78	4,67	5,35	20,41	0,38	1,15	22,00	2,62	616,34	3177,31	253,43	1362,76	1,99	6,64	29,53	0,62	2,47	4,94	29,32	18,94	20,06	22,84	23,27	29,05	18,56	28,34	0,79	2,04	0,67	1,95	2006,97	0,18	1,00	1,74
8622	52,17	47,83	1	8	39,26	44,59	24,37	75,83	97,04	175,86	86,52	25,12	79,00	99,45	177,23	86,29	26,56	28,00	56,00	82,00	3,13	8,00	71,81	71,86	70,90	64,39	90,51	90,66	120,74	120,75	5,88	4,67	4,83	4,72	4,79	6,25	4,36	25,40	0,00	1,47	24,62	3,12	633,56	3396,53	267,79	1567,67	1,73	5,80	46,51	0,00	2,22	4,44	29,09	18,72	20,78	22,81	22,62	28,81	18,50	26,84	0,94	2,68	0,72	2,52	2007,51	0,19	1,12	2,56
8625	63,25	36,75	1	9	45,08	50,53	25,21	76,18	99,01	173,53	88,04	25,53	77,33	99,43	173,89	88,94	28,95	30,86	52,73	67,50	7,14	14,63	74,39	75,88	73,50	68,92	93,93	95,93	126,91	130,24	18,10	5,01	5,06	5,13	5,01	6,31	6,47	29,52	2,75	4,59	23,11	2,77	471,44	2467,47	256,29	1391,72	1,84	10,26	31,48	6,15	7,69	4,62	29,22	18,25	19,83	22,15	21,62	28,79	18,34	28,09	1,01	2,20	0,71	1,72	2008,02	0,57	1,53	2,27
8627	53,45	46,55	1	8	42,09	48,53	25,63	79,16	99,99	175,47	89,33	25,89	79,76	99,19	175,28	88,49	22,41	17,39	75,00	97,83	3,45	8,70	74,09	75,20	72,52	68,29	93,55	95,65	126,31	130,67	6,90	4,66	4,88	5,14	4,87	12,07	4,55	23,21	0,00	0,00	22,33	2,67	615,07	3215,27	257,36	1426,73	2,57	3,45	37,50	0,00	2,63	2,63	29,30	18,35	19,62	21,91	22,30	29,26	17,86	28,26	0,84	2,30	0,93	2,07	2006,55	0,85	1,75	2,78
8629	59,76	40,24	2	8	41,25	47,36	24,56	75,82	97,83	175,29	86,75	24,87	77,45	99,02	176,16	86,43	28,57	23,43	48,39	83,52	7,39	7,39	72,75	72,93	73,73	69,15	92,22	92,99	124,30	126,19	9,40	4,94	4,98	5,17	4,96	8,26	4,03	16,44	2,94	3,78	25,11	3,29	558,32	2937,43	274,20	1516,83	2,17	4,88	32,54	3,36	5,41	4,05	29,57	17,98	19,69	21,68	22,44	29,28	18,42	28,71	0,83	2,09	0,68	2,00	2007,06	-0,02	0,81	0,99
8633	63,49	36,51	1	9	49,49	55,38	25,50	77,45	100,37	173,90	90,41	25,73	76,93	101,07	172,57	89,94	27,87	27,50	52,50	64,10	8,33	12,50	73,08	73,33	71,73	67,62	93,79	94,44	128,21	129,87	17,74	5,24	4,98	5,17	4,93	13,33	7,60	17,54	1,69	1,69	24,67	3,08	506,50	2686,73	319,04	1749,42	2,25	19,05	50,00	0,00	2,70	0,00	29,91	18,96	19,51	22,42	22,36	29,62	18,49	27,58	0,75	2,18	0,90	2,15	2008,16	1,07	1,69	2,28
8635	54,93	45,07	1	8	43,11	49,04	25,82	79,76	100,94	174,72	91,31	25,44	78,22	99,58	174,65	88,33	33,33	20,41	75,00	89,80	5,80	12,24	75,07	74,39	71,83	69,11	94,85	93,13	128,21	124,77	5,71	4,87	5,07	5,13	4,97	4,35	5,09	14,93	0,00	4,23	21,58	2,67	540,85	2722,42	242,78	1232,08	2,47	2,82	17,65	0,00	2,33	6,98	29,78	19,06	19,46	22,63	21,40	29,09	17,66	29,31	1,21	2,86	0,73	1,98	2006,73	0,49	1,24	0,66
8647	57,65	42,35	1	8	43,34	50,45	25,57	78,81	100,54	175,22	89,49	26,59	81,43	102,24	175,10	90,68	36,90	37,88	56,52	77,27	3,57	5,97	73,09	74,65	70,28	68,17	92,55	95,09	125,53	129,71	8,24	5,05	4,94	5,23	4,96	2,38	5,46	18,99	1,18	1,18	26,76	3,64	784,64	3999,67	239,30	1272,96	2,09	8,24	28,57	1,69	6,90	13,56	28,50	19,19	20,37	22,88	22,40	28,50	18,86	27,56	0,98	2,32	0,84	1,83	2006,52	0,95	2,04	2,17
8651	55,56	44,44	3	8	41,82	48,30	24,54	75,43	97,49	174,62	86,56	25,09	77,25	98,95	175,14	86,82	25,48	26,15	53,70	74,11	6,39	9,51	72,04	73,41	71,99	68,06	91,93	93,64	124,61	127,44	8,70	4,96	5,01	5,18	5,05	6,67	4,69	17,68	2,14	2,94	24,31	3,05	639,11	3374,36	283,53	1596,49	1,95	5,47	33,95	1,97	4,35	5,14	29,17	18,97	19,87	22,33	22,17	29,00	18,94	27,92	0,94	2,52	0,82	2,07	2007,09	0,39	1,30	2,10
8701	54,88	45,12	9	9	48,81	53,91	25,53	77,71	99,05	174,18	90,15	25,40	77,35	99,30	174,33	89,46	39,89	40,56	60,49	58,78	10,86	11,23	73,32	74,28	69,90	68,32	93,42	95,36	127,06	131,01	16,76	5,25	5,07	5,28	5,10	8,58	8,51	23,40	4,55	5,89	23,37	2,84	663,01	3405,09	302,30	1601,53	2,10	12,30	36,73	3,33	5,89	4,38	29,46	19,01	19,57	22,43	22,28	29,28	18,52	28,15	1,09	2,19	0,84	1,66	2009,95	-1,01	1,68	2,08
8702	55,20	44,80	3	9	47,40	51,94	25,01	77,20	98,74	175,14	88,87	24,72	76,23	98,60	175,30	87,57	23,94	25,51	71,47	68,60	6,63	7,05	73,00	74,29	68,59	65,71	92,73	94,53	125,68	128,81	13,20	5,10	5,01	5,14	5,04	6,65	5,35	11,85	2,62	3,21	24,30	3,07	510,99	2733,83	279,06	1574,22	2,13	10,43	28,00	0,46	2,33	3,23	29,84	17,88	19,16	21,57	21,45	30,32	17,71	28,95	0,82	1,86	0,67	1,62	2009,86	1,53	0,95	1,09
8711	58,21	41,79	4	8	42,76	47,91	25,24	77,39	98,75	174,47	88,35	25,23	77,41	99,66	174,78	88,03	31,88	30,56	72,65	74,58	7,51	5,32	72,36	73,10	69,74	66,81	91,69	92,97	123,74	125,96	11,94	5,11	4,92	5,07	4,92	7,74	4,83	15,02	1,48	2,76	22,99	2,79	699,83	3697,18	300,18	1698,96	2,09	7,69	32,40	2,32	4,67	3,86	29,57	18,91	20,30	22,40	22,58	29,72	18,41	28,06	1,00	2,09	0,71	1,70	2009,91	-0,42	1,07	1,09
8713	58,76	41,24	1	8	43,15	46,88	25,25	77,44	98,44	174,95	87,47	25,53	78,78	99,89	175,46	88,36	36,84	37,93	73,03	70,18	7,61	12,07	71,03	73,57	69,33	64,69	90,22	93,64	121,65	127,10	10,42	5,03	4,97	5,09	4,97	4,35	6,93	26,74	6,67	6,67	22,80	2,68	347,29	1802,88	220,65	1169,69	2,38	6,19	21,62	0,00	0,00	5,88	29,80	18,14	19,54	22,00	22,38	29,57	17,31	28,07	1,00	2,50	0,76	2,29	2009,92	-0,02	0,96	2,49
8715	61,86	38,14	1	8	44,18	49,67	26,60	82,13	101,28	175,43	91,24	26,80	82,61	102,53	175,28	91,88	40,00	38,46	76,60	75,00	11,58	10,77	73,59	73,30	70,59	67,73	93,11	93,69	125,79	127,73	9,38	5,08	4,91	5,33	4,93	6,32	5,09	23,66	1,04	1,04	22,40	2,58	611,89	3112,30	215,50	1130,35	2,31	6,19	38,78	0,00	5,56	12,28	29,31	18,93	19,71	22,88	22,44	29,30	18,08	27,69	1,03	2,23	0,83	1,55	2008,68	-0,26	2,11	1,79
8721	53,13	46,88	1	8	40,88	49,80	24,59	76,13	97,34	175,23	86,23	24,84	76,29	99,67	174,98	86,88	22,81	23,68	67,24	76,32	10,34	10,53	71,13	73,88	70,21	66,12	91,54	94,07	124,67	127,90	9,84	4,97	4,92	5,32	4,96	12,07	3,99	14,55	1,64	1,64	24,15	3,02	505,08	2590,59	278,61	1458,24	2,21	9,38	29,63	0,00	5,71	2,86	29,12	18,65	19,68	22,29	22,59	29,35	18,35	28,86	1,09	1,98	0,95	2,05	2009,06	-1,09	1,23	1,53
8723	53,29	46,71	3	8	44,20	48,93	25,69	80,64	100,07	177,00	89,87	25,31	78,89	99,95	176,36	88,37	29,04	28,87	78,33	80,83	5,32	6,19	74,04	74,20	68,54	66,06	93,57	94,39	126,82	127,98	12,91	5,13	5,03	5,12	4,96	11,71	5,61	18,77	2,35	2,68	22,84	2,76	334,24	1732,64	254,86	1335,77	2,45	6,27	27,56	1,17	3,53	6,43	29,34	18,92	20,26	22,45	22,31	29,50	18,24	27,96	0,99	2,31	0,78	1,96	2009,96	-1,24	1,47	2,49
