ZIPCODE	GENDER	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
7741	1	3	8	43,35	46,83	26,34	86,69	98,70	95,47	181,00	26,45	86,99	98,13	95,06	181,10	37,39	38,32	76,51	81,22	10,97	12,62	78,19	77,88	68,91	67,57	97,74	97,84	132,04	133,21	17,37	5,19	5,12	5,11	5,30	10,34	8,15	27,50	3,55	4,44	21,63	2,50	610,36	3289,20	276,51	1619,94	 	5,87	28,57	3,00	6,19	2,51	29,91	19,16	18,69	22,33	24,58	29,36	17,56	28,04	1,25	2,28	0,82	1,90	2010,00	-1,35	1,20	2,07
7741	2	4	8	42,85	46,45	26,19	74,33	101,16	89,40	168,24	26,24	74,70	100,91	88,09	168,63	38,05	33,67	70,66	76,27	10,76	13,47	73,44	73,40	72,28	70,14	92,57	93,72	124,85	127,98	12,56	5,07	4,93	5,06	4,95	10,30	7,17	26,71	2,41	3,51	24,79	3,18	437,24	2227,82	245,62	1269,70	2,00	9,17	43,75	3,79	10,77	7,12	29,10	18,93	20,74	22,62	21,57	28,57	19,13	27,67	1,24	2,58	0,74	1,94	2009,98	-1,35	2,91	1,56
7742	1	2	8	43,42	46,29	27,13	90,28	100,26	97,33	182,47	26,78	89,62	99,25	95,77	182,94	33,20	26,71	80,85	79,63	9,36	10,49	77,33	77,93	67,98	65,51	97,63	98,44	132,69	134,29	12,30	5,17	5,19	5,09	5,23	5,96	7,23	21,85	3,28	5,35	22,60	2,65	533,71	2961,50	307,23	1829,12	 	4,05	30,00	3,95	3,97	5,30	30,56	18,62	18,35	22,12	24,51	30,00	16,67	28,45	0,98	2,28	0,62	1,79	2009,98	-1,20	1,69	2,37
7742	2	3	7	41,56	44,83	26,01	74,44	101,26	89,04	168,67	26,18	75,17	101,22	87,82	169,26	27,86	23,50	75,00	74,54	13,17	12,84	72,71	73,17	71,32	70,17	91,64	92,91	123,18	125,43	11,82	4,91	4,94	4,93	5,04	11,61	5,09	17,27	3,46	4,03	24,45	3,09	455,48	2310,45	259,01	1328,09	1,85	7,63	41,01	1,90	6,34	7,55	29,41	18,86	20,47	22,62	21,96	28,87	19,00	28,36	1,06	2,59	0,75	2,17	2009,99	-1,20	2,06	2,48
7751	1	2	8	44,02	47,82	26,17	86,95	99,28	94,17	181,92	26,22	87,09	98,18	94,01	182,11	22,78	21,66	80,09	78,21	7,30	8,92	77,59	77,22	68,10	65,53	97,31	97,52	131,93	132,91	12,13	5,19	5,16	5,13	5,15	9,01	5,60	19,65	2,93	3,77	22,64	2,65	356,03	2052,39	294,55	1744,98	 	3,28	24,53	0,00	2,70	3,38	30,55	18,47	18,24	21,71	24,51	30,13	16,58	28,74	1,05	1,91	0,57	1,43	2009,98	-0,22	1,04	0,81
7751	2	3	8	44,91	48,19	25,88	75,20	100,90	88,57	170,33	25,76	74,27	100,28	87,02	169,82	19,26	22,05	77,00	79,79	9,28	16,41	72,95	72,37	70,90	69,60	92,37	93,21	124,84	127,09	9,03	5,11	4,85	5,22	4,88	10,31	5,91	19,93	2,38	3,06	25,56	3,32	305,43	1530,14	226,68	1136,38	2,20	8,64	27,97	4,26	6,52	5,29	29,32	18,85	19,99	22,60	21,60	28,83	18,82	28,17	0,98	2,43	0,54	1,97	2010,00	-0,23	1,33	1,63
7761	1	2	8	42,61	45,98	26,42	87,54	99,17	95,67	181,55	26,51	87,63	98,09	95,33	181,67	29,52	36,05	81,98	81,63	6,25	9,59	76,56	76,72	69,44	67,36	96,28	96,86	130,72	131,47	9,21	5,16	5,20	5,10	5,27	7,59	6,42	22,83	4,37	4,80	21,97	2,54	538,68	2853,04	240,09	1360,11	 	4,72	23,47	2,05	4,11	4,14	30,20	18,71	18,68	22,21	23,92	30,01	17,32	27,97	1,11	2,23	0,47	1,77	2009,97	-0,10	1,02	2,24
7761	2	3	7	41,62	44,70	26,88	76,70	102,43	90,06	168,90	26,96	77,15	102,38	88,87	169,31	33,77	29,17	71,86	77,60	9,00	11,98	73,45	71,94	72,54	69,74	92,67	91,81	124,77	124,19	10,26	4,92	4,95	4,86	5,02	8,97	5,23	20,67	3,55	4,84	23,83	2,99	397,53	2048,50	204,06	1081,15	1,98	3,46	39,16	3,43	8,52	2,79	29,47	18,53	20,22	22,83	21,79	28,55	18,56	27,85	1,16	2,38	0,82	2,08	2009,99	-0,11	1,70	1,68
7765	1	1	8	44,21	48,53	27,61	91,38	100,36	98,55	181,79	28,09	92,24	99,75	99,75	181,02	50,86	56,00	71,43	77,03	14,29	17,33	78,91	78,06	69,53	67,79	99,50	98,82	135,58	135,20	13,16	5,01	5,20	4,97	5,41	9,01	8,03	23,08	5,13	6,84	22,54	2,63	361,92	2007,42	262,83	1511,97	 	8,55	28,21	8,06	13,11	0,00	29,83	19,15	19,07	21,91	24,73	30,39	17,07	28,84	1,33	1,81	0,68	1,07	2009,97	-0,83	0,76	0,71
7765	2	1	8	43,76	47,04	27,08	77,11	103,36	91,48	168,67	27,48	77,94	103,80	90,85	168,38	44,59	43,88	64,79	70,00	20,83	20,00	73,35	72,27	72,88	69,54	92,83	92,99	126,23	127,33	9,59	4,88	4,86	4,80	4,93	9,86	6,73	21,38	2,03	3,38	24,44	3,10	289,97	1480,35	226,43	1162,63	2,10	10,74	34,92	10,42	13,98	4,17	28,66	19,66	21,16	22,74	21,59	28,64	19,72	27,83	1,28	2,36	0,57	1,83	2009,97	-0,83	3,67	2,89
7766	1	1	8	42,33	44,39	26,87	89,38	99,11	97,36	182,38	27,09	90,20	99,32	96,51	182,49	34,07	38,46	89,77	86,27	9,09	13,46	77,27	77,41	67,72	66,40	97,34	97,70	132,66	133,45	12,09	5,00	5,23	4,78	5,34	5,68	5,34	10,00	3,26	5,43	21,69	2,45	362,05	1917,32	277,17	1492,93	 	5,32	26,67	3,70	3,70	5,56	29,77	19,01	19,05	21,71	24,79	29,49	17,35	28,80	0,95	1,89	0,76	1,82	2009,96	-0,66	1,15	1,68
7766	2	1	8	43,05	45,71	26,39	76,03	101,48	90,60	169,74	26,49	76,93	101,86	89,42	170,42	27,35	26,58	75,89	78,21	9,65	5,06	75,19	73,38	72,45	69,62	94,17	93,79	126,21	127,74	13,68	4,87	4,79	4,83	4,86	4,39	4,29	13,91	1,69	2,54	24,06	3,01	266,30	1358,63	186,94	961,85	2,00	9,40	35,85	0,00	8,82	4,35	29,24	19,12	21,45	22,47	22,22	29,06	18,86	27,78	0,98	1,93	0,71	1,78	2009,93	-0,66	2,15	1,16
7811	1	1	9	50,26	53,76	26,09	85,13	97,76	95,62	180,33	26,67	87,64	97,85	96,50	181,08	34,91	33,33	60,40	55,95	12,87	14,12	77,35	77,94	69,47	68,96	97,32	98,96	132,14	136,18	21,10	5,10	5,30	5,03	5,42	5,94	9,03	20,19	8,26	10,09	23,61	2,85	447,37	2469,26	294,89	1706,86	 	9,01	23,26	2,56	3,90	2,60	30,77	18,04	18,17	21,42	24,26	29,97	16,49	28,64	0,96	1,98	0,80	1,72	2009,17	-1,84	1,27	0,39
7811	2	1	10	51,62	55,35	26,36	74,17	101,15	90,30	167,74	26,95	76,12	103,63	91,89	168,14	47,33	52,78	53,28	50,00	18,57	23,85	73,00	72,67	72,47	70,98	93,81	95,16	127,97	132,88	18,71	5,36	5,20	5,40	5,47	10,79	8,70	22,76	3,95	5,92	26,20	3,39	369,32	1851,46	263,95	1324,61	1,81	13,55	47,62	7,69	9,00	10,48	29,51	18,00	19,83	21,94	21,46	29,55	18,76	28,15	1,26	2,16	0,80	1,42	2009,44	-2,01	2,65	2,66
7812	1	4	8	42,74	47,23	26,14	86,42	97,69	94,92	181,14	26,23	87,54	98,27	95,79	182,30	29,22	23,65	72,41	68,14	12,41	11,82	76,34	76,70	71,48	69,43	96,14	97,23	130,71	132,89	12,98	4,95	5,12	4,93	5,30	7,75	7,83	23,10	4,21	5,54	22,72	2,70	624,00	3305,96	283,56	1603,75	 	6,68	32,21	2,28	3,41	4,14	30,27	18,58	18,24	22,24	23,71	29,49	17,18	28,62	1,11	2,45	0,70	1,94	2009,68	-0,90	1,80	1,65
7812	2	6	8	42,25	46,60	25,78	73,55	99,53	87,46	168,67	25,90	73,91	101,14	88,02	168,96	30,06	28,73	69,08	66,59	13,69	17,03	72,22	72,17	73,69	71,47	91,15	92,13	122,46	124,93	9,16	5,09	4,99	5,04	5,07	9,29	5,92	24,13	3,02	5,44	24,87	3,16	525,36	2713,33	267,47	1423,86	1,68	10,43	46,35	3,94	10,87	7,85	29,36	18,97	20,30	22,71	21,16	28,93	18,95	27,94	1,20	2,98	0,84	2,29	2009,70	-0,90	3,09	3,74
7814	1	1	8	43,66	47,00	26,63	88,09	98,82	95,32	181,69	26,69	88,47	98,50	95,75	182,02	23,44	17,39	76,19	80,43	11,11	8,70	76,90	77,81	70,63	71,59	96,47	98,02	130,29	133,83	7,35	5,08	5,25	5,11	5,22	7,94	7,18	12,70	7,46	8,96	21,82	2,54	473,78	2313,31	333,67	1612,76	 	4,41	40,00	2,17	2,27	4,35	30,27	18,58	18,67	22,36	23,76	29,92	16,73	28,39	1,05	2,61	0,54	2,13	2009,00	-0,84	1,36	1,49
7814	2	1	8	44,33	48,18	25,83	74,42	99,83	87,69	169,33	26,04	74,85	100,95	88,24	169,36	31,03	27,94	59,30	63,77	8,05	10,14	73,04	73,76	73,26	71,51	91,90	94,06	123,35	128,13	11,11	4,99	5,00	5,02	5,06	5,75	4,99	20,00	3,33	4,44	23,86	3,05	337,33	1714,20	249,20	1273,57	1,81	6,52	45,24	3,13	3,17	7,69	29,87	18,06	20,13	22,09	19,71	29,23	18,15	28,66	1,05	2,67	0,84	2,04	2008,52	-0,69	2,15	2,14
7815	1	1	8	43,24	48,87	26,14	85,67	97,80	94,67	180,20	26,81	87,82	98,97	97,37	180,68	40,88	39,83	65,12	66,10	9,20	7,69	77,25	78,60	72,48	71,29	97,58	99,48	133,05	135,49	13,19	5,10	5,29	5,11	5,50	4,60	8,47	28,00	6,95	9,09	22,59	2,59	623,25	3295,40	290,33	1630,80	 	5,26	30,43	1,64	3,36	1,65	29,89	18,85	18,99	21,86	23,97	29,06	17,58	28,70	1,24	2,32	0,69	1,54	2008,73	-2,01	2,13	1,84
7815	2	2	8	43,00	47,43	26,84	76,30	101,57	90,02	168,34	26,78	76,41	102,21	89,98	168,84	39,93	38,34	60,93	60,94	17,02	16,49	72,70	72,88	74,01	72,67	92,10	93,45	123,99	128,00	10,31	5,04	5,08	4,96	5,23	10,39	6,22	27,21	4,14	6,57	24,54	3,11	477,48	2456,39	285,41	1496,02	1,61	10,44	44,25	7,47	8,93	7,47	29,51	19,63	20,40	23,05	21,54	28,49	19,20	28,11	1,36	3,05	0,80	2,19	2008,65	-1,99	3,98	3,56
7822	1	1	8	44,37	48,24	25,65	84,95	96,60	93,81	181,32	25,46	84,83	96,75	93,07	182,08	17,43	20,31	79,25	81,25	6,54	6,35	75,79	76,22	69,87	67,17	95,56	95,84	129,71	129,66	10,62	5,17	5,18	4,98	5,13	7,55	6,87	20,00	3,54	4,42	22,72	2,69	519,93	3003,12	331,44	2060,69	 	5,13	25,58	2,99	1,49	6,06	30,66	18,20	18,05	21,78	24,74	29,88	16,54	29,10	0,98	2,32	0,83	1,76	2009,01	-1,23	0,80	1,36
7822	2	1	9	46,43	50,49	25,45	72,80	99,21	86,80	168,84	25,40	72,58	99,91	86,77	168,94	28,48	25,00	63,09	59,63	10,00	12,84	72,53	72,19	73,79	71,37	91,45	92,16	122,36	125,09	6,45	5,11	5,02	4,97	4,98	4,00	5,69	19,31	2,58	3,23	25,89	3,42	389,96	2065,96	271,24	1472,37	1,94	12,66	42,65	2,97	12,12	8,00	29,30	18,79	20,04	22,67	20,75	28,51	18,85	28,33	0,96	2,53	0,78	1,78	2008,84	-1,16	2,19	2,29
7823	1	2	8	45,07	47,91	26,74	87,40	98,55	95,77	180,32	26,46	86,44	97,58	94,98	180,43	35,59	34,31	66,51	67,39	14,35	13,04	77,50	77,17	70,91	69,53	97,48	97,78	132,27	133,44	18,67	5,19	5,17	4,94	5,29	11,63	8,80	20,28	3,59	5,38	22,36	2,61	578,10	3010,52	330,54	1772,72	 	9,48	38,24	3,10	4,00	3,85	29,69	19,00	18,90	22,21	24,01	29,16	17,85	27,92	1,49	2,28	0,96	2,07	2009,42	-1,87	2,32	2,27
7823	2	3	8	45,93	49,95	26,57	75,00	101,44	88,76	167,99	26,68	75,19	101,92	89,72	167,90	38,44	40,19	61,78	62,04	11,75	16,06	74,03	73,44	72,94	72,19	93,56	93,82	126,22	128,17	17,23	5,13	4,96	5,12	5,03	11,71	6,64	21,41	2,17	2,17	25,52	3,32	392,01	2030,31	283,37	1487,11	1,85	12,27	40,68	5,56	10,31	5,50	29,10	18,99	20,45	22,68	21,53	28,51	19,19	27,73	1,45	2,97	0,94	2,37	2009,43	-1,88	3,26	3,18
7824	1	2	8	44,84	49,85	27,47	89,86	100,34	98,19	180,59	27,17	88,79	99,61	97,33	180,61	42,72	41,86	71,00	70,00	13,11	14,62	77,53	78,46	72,47	68,97	97,78	99,78	133,26	136,47	16,36	4,95	5,34	4,82	5,42	11,22	8,82	25,25	5,61	8,88	22,74	2,70	696,39	3654,62	318,78	1766,59	 	4,50	31,65	2,46	4,10	6,50	29,42	19,57	19,66	21,97	23,44	29,03	18,06	28,11	1,14	2,35	1,02	1,80	2009,56	-2,03	2,73	2,16
7824	2	3	8	43,89	48,17	26,58	74,20	100,43	89,40	166,89	26,66	74,40	101,35	89,02	166,96	48,57	45,54	56,06	57,40	21,00	23,35	73,04	73,42	74,75	72,78	92,32	93,95	124,16	128,47	14,42	5,02	5,18	5,12	5,15	13,09	7,56	32,24	5,40	6,69	23,49	2,85	472,42	2370,21	258,75	1301,86	1,74	9,17	47,41	6,91	10,87	6,99	28,70	19,86	20,68	22,96	22,14	28,22	19,61	27,71	1,55	3,11	1,15	2,67	2009,50	-2,02	3,67	3,55
7826	1	1	8	44,20	48,16	27,51	90,76	99,69	98,45	181,11	27,62	91,23	99,77	98,26	181,53	37,11	38,83	76,92	80,39	6,33	13,59	77,73	78,87	69,06	68,18	97,33	99,42	131,74	135,50	9,76	5,36	5,31	5,24	5,36	6,33	7,24	21,57	3,05	4,91	22,25	2,63	557,94	3060,95	333,06	1936,58	 	8,33	32,79	3,33	2,25	2,27	30,54	19,14	18,39	21,95	24,54	30,19	16,82	28,97	1,11	1,97	0,57	1,59	2009,81	0,46	1,08	1,78
7826	2	2	8	44,75	48,18	26,44	75,59	101,34	89,70	168,99	25,93	74,08	100,91	87,25	168,89	43,46	40,58	66,82	78,26	16,36	14,60	72,26	70,91	71,65	70,54	92,01	91,22	124,51	124,25	11,71	5,16	4,98	5,13	5,02	15,96	5,88	18,87	2,79	3,72	25,29	3,30	351,42	1809,77	266,71	1386,24	2,00	12,22	50,00	3,79	12,98	6,02	29,25	19,16	20,96	22,49	21,65	29,03	19,05	28,55	1,25	2,60	0,83	2,05	2009,78	0,46	2,59	2,16
7827	1	3	8	44,25	48,99	26,04	86,91	97,55	94,29	182,31	26,19	87,75	98,67	95,46	182,90	18,01	20,00	80,76	83,02	8,36	8,71	76,99	78,24	70,03	68,62	96,69	97,63	131,16	132,20	11,26	5,23	5,21	5,15	5,28	8,89	7,53	21,05	3,40	4,71	23,03	2,79	576,38	3105,45	304,39	1745,48	 	6,12	32,91	0,82	2,45	1,22	30,17	18,35	18,39	21,54	23,58	29,69	17,06	28,96	1,04	2,26	0,64	2,05	2009,76	0,43	1,23	1,55
7827	2	5	8	42,99	47,42	25,29	72,41	98,18	85,78	169,04	25,63	73,24	100,44	87,19	168,97	29,50	27,81	74,84	76,70	12,29	14,41	72,64	71,96	72,07	70,19	91,46	91,75	122,72	124,43	9,37	5,05	4,88	5,07	4,96	10,46	4,46	12,83	1,03	2,69	24,91	3,17	510,34	2633,25	278,15	1472,28	1,86	11,13	43,72	5,03	11,32	7,74	29,25	18,73	20,41	22,33	20,89	28,79	19,39	28,14	1,04	2,46	0,82	2,16	2009,76	0,43	2,27	2,60
7828	1	1	8	44,44	48,23	25,83	86,14	97,36	93,83	182,50	26,25	87,50	99,43	95,03	182,36	17,91	21,74	81,82	78,26	7,58	8,70	77,87	78,90	68,50	68,29	97,50	98,82	131,71	134,02	10,00	5,16	5,19	5,11	5,16	9,09	7,63	26,15	1,49	1,49	23,08	2,78	558,77	3064,48	293,74	1739,31	 	10,00	13,33	2,86	2,86	0,00	30,42	18,00	17,34	21,34	23,37	30,32	15,95	28,37	1,17	2,52	0,87	2,20	2009,83	1,81	1,74	0,00
7828	2	1	8	43,27	46,88	25,73	74,43	99,47	88,03	170,16	25,94	74,65	101,51	87,91	169,77	18,68	15,25	75,00	79,66	9,78	7,02	72,65	72,75	72,24	68,34	91,54	92,08	122,55	123,82	8,51	4,94	4,84	5,12	4,85	10,99	3,93	13,64	2,22	2,22	26,20	3,41	359,13	1862,65	258,35	1358,76	1,74	7,45	25,71	6,00	10,42	6,00	29,78	18,39	18,67	22,19	21,75	29,55	17,80	28,29	1,22	2,61	0,93	2,17	2009,96	1,82	1,10	1,10
7831	1	2	8	44,92	49,50	27,65	91,36	99,64	99,15	181,47	28,02	92,57	101,42	100,61	181,49	50,95	48,45	69,57	74,85	15,06	16,56	79,01	80,08	72,36	71,52	99,74	100,82	136,19	137,70	14,83	5,23	5,30	5,10	5,33	12,16	9,40	27,13	3,76	7,89	21,57	2,47	876,99	4516,70	212,91	1196,29	 	5,60	22,88	2,78	7,75	2,80	30,21	19,53	18,55	22,13	23,56	30,22	17,18	28,55	1,20	2,41	0,84	1,95	2009,94	-1,57	2,08	1,67
7831	2	3	8	42,70	46,67	27,44	78,10	101,58	91,49	168,57	27,05	77,36	103,14	91,01	168,99	44,89	42,79	67,94	69,27	16,04	17,89	74,30	73,74	72,93	70,30	93,46	94,28	126,11	128,85	12,91	5,00	4,99	4,98	5,04	11,39	6,52	27,13	3,64	5,45	23,69	2,88	441,81	2252,60	188,37	985,39	1,79	7,74	41,18	4,50	11,06	8,91	29,05	19,77	20,72	22,60	21,10	28,73	19,11	28,12	1,21	2,76	0,87	2,13	2009,98	-1,58	2,95	2,66
7833	1	3	8	42,44	46,30	27,15	90,02	98,74	97,06	181,43	27,44	90,80	99,60	97,98	181,57	38,43	37,16	83,94	86,34	9,42	12,02	77,86	78,40	69,93	67,73	98,12	99,06	133,63	135,10	11,68	5,29	5,26	5,14	5,40	9,49	7,12	23,27	3,70	5,72	21,55	2,44	835,43	4287,44	214,80	1184,28	 	5,65	27,22	3,87	2,26	1,66	30,49	19,11	18,09	21,96	23,89	30,28	16,96	28,61	1,16	1,97	0,68	1,63	2009,99	-1,03	0,98	1,38
7833	2	4	7	40,11	44,07	26,17	74,92	99,96	88,10	168,68	26,48	75,84	101,78	89,30	169,15	40,32	39,25	75,07	76,23	9,46	11,70	72,05	72,71	72,82	69,74	91,35	92,75	122,98	125,94	7,18	4,92	4,90	4,88	4,99	9,24	5,59	23,84	2,76	3,01	24,03	2,98	508,41	2635,29	211,96	1153,07	1,72	5,93	37,33	3,88	4,76	6,61	29,48	19,28	20,03	22,57	21,22	29,24	18,78	28,05	1,23	2,29	0,83	2,03	2009,98	-1,03	1,94	2,11
7841	2	1	10	52,84	55,29	25,53	73,36	100,24	89,33	169,45	25,65	73,35	100,27	88,28	169,02	40,82	28,57	56,25	62,79	16,00	16,28	75,94	75,92	71,86	71,23	95,24	97,35	128,58	134,23	16,00	5,47	4,95	5,38	5,18	10,00	3,08	8,00	2,00	4,00	26,18	3,48	459,69	2438,44	358,73	1933,67	2,23	16,00	0,00	5,41	10,53	15,00	29,76	18,40	19,52	21,53	19,98	28,95	18,57	28,43	1,00	2,43	0,49	1,58	2009,76	0,06	2,00	0,84
7844	1	1	7	39,75	43,88	27,17	89,69	99,14	96,25	180,86	27,60	91,66	99,62	97,71	181,62	47,32	47,14	83,49	78,26	9,09	15,71	77,35	80,30	70,43	67,15	96,97	100,29	131,47	135,39	6,19	5,12	5,17	5,04	5,30	14,68	6,37	29,91	1,72	5,17	21,52	2,39	1221,14	6211,67	238,61	1299,03	 	6,67	42,86	1,33	2,67	2,70	30,18	19,82	19,08	22,15	24,35	29,55	17,80	27,94	1,17	2,28	0,78	1,99	2010,00	-0,95	1,44	1,95
7844	2	1	7	38,60	43,06	27,43	77,56	102,38	90,77	167,79	27,69	78,05	103,59	92,08	167,66	45,39	51,00	73,47	71,57	14,00	17,48	72,51	72,79	73,65	70,39	91,91	94,14	124,16	129,45	11,46	4,86	4,88	4,81	5,05	10,81	7,28	30,56	1,92	5,16	21,93	2,56	613,76	3084,25	213,38	1082,33	1,62	4,94	30,77	2,83	10,78	12,38	29,29	19,53	20,46	22,46	21,71	28,91	19,39	28,18	1,24	2,82	0,83	2,39	2009,95	-0,94	2,42	2,70
7876	2	1	8	43,91	46,57	26,78	76,06	102,13	90,57	168,46	26,40	75,47	102,11	88,38	168,94	33,80	24,00	68,66	79,59	11,94	12,00	73,43	74,19	72,72	70,47	93,25	94,39	126,64	129,37	10,81	4,97	5,07	5,13	4,91	14,93	6,02	25,71	2,74	2,74	25,32	3,32	398,03	2051,95	196,03	1041,95	1,98	12,00	100,00	2,08	8,70	12,50	29,50	18,57	20,38	22,32	21,24	28,75	18,75	29,00	1,20	2,89	0,59	1,77	2009,84	-0,89	2,56	4,10
7881	1	3	8	44,67	48,90	27,98	92,48	100,81	99,78	181,55	27,87	91,81	99,94	99,30	181,36	50,67	53,10	75,28	71,75	13,97	15,93	79,34	78,61	70,63	68,75	99,41	99,65	134,92	136,49	14,59	5,20	5,31	5,08	5,34	10,61	8,42	26,37	4,57	6,45	21,82	2,52	288,39	1495,93	211,75	1112,78	 	12,17	30,53	5,99	5,96	4,04	29,57	20,14	19,05	22,11	23,89	29,73	17,89	28,28	1,40	2,24	0,63	1,53	2009,96	-1,27	2,16	1,82
7881	2	5	8	44,63	49,26	27,32	77,63	103,10	91,86	168,60	27,20	77,13	102,57	90,11	168,45	50,28	46,44	69,81	66,48	14,80	16,38	74,53	74,52	73,11	70,85	94,30	95,48	127,76	130,69	13,38	5,13	4,99	5,14	5,07	9,71	7,08	23,22	4,88	6,75	24,07	3,02	249,52	1259,99	201,74	1021,10	2,00	8,61	44,39	6,85	11,68	7,08	28,95	19,25	21,01	22,30	21,13	28,78	19,09	28,29	1,23	2,59	0,68	1,78	2009,94	-1,27	3,23	2,44
7884	1	1	8	44,18	46,31	28,35	94,39	101,50	100,33	182,24	28,48	95,05	101,66	100,45	182,55	43,12	51,56	77,67	73,44	18,10	10,94	78,51	79,63	70,39	66,54	98,96	100,57	134,66	137,86	12,73	5,32	5,36	5,30	5,37	11,54	8,40	27,62	3,64	3,64	21,77	2,56	393,44	2154,30	225,05	1312,37	 	11,71	47,37	2,00	6,12	0,00	30,42	18,70	18,40	21,80	25,25	30,49	17,23	29,08	1,15	1,97	0,56	1,54	2010,00	-1,03	1,86	0,80
7884	2	1	8	42,54	46,71	27,36	78,13	103,72	91,08	169,16	27,89	79,95	105,02	90,75	169,28	43,36	52,38	73,19	70,59	17,27	15,29	72,71	73,32	70,25	69,07	92,40	94,40	125,09	130,22	13,79	4,99	5,13	5,01	5,35	13,87	5,43	20,14	5,48	7,53	25,30	3,27	243,91	1300,71	171,39	938,11	1,98	12,84	47,62	3,66	7,59	4,88	29,28	19,27	20,23	22,38	21,65	29,02	19,02	28,03	1,43	2,28	0,99	1,87	2010,00	-1,03	2,26	2,13
7885	1	1	8	46,12	50,63	27,68	91,38	100,41	99,91	181,48	28,09	92,84	99,86	100,39	181,79	50,00	48,21	72,04	68,42	11,83	13,79	76,99	77,89	68,68	66,63	97,40	99,57	132,84	136,12	13,27	5,42	5,52	5,24	5,65	16,13	8,32	30,43	6,12	9,18	21,63	2,52	293,40	1640,31	231,23	1329,51	 	7,14	26,67	4,35	2,22	0,00	29,28	20,11	19,24	22,24	24,08	29,20	17,80	27,42	1,50	2,17	0,86	1,54	2009,96	-0,46	1,80	2,04
7885	2	1	8	45,69	49,41	27,48	79,23	103,63	93,48	169,76	27,80	79,40	104,50	91,57	168,91	46,92	50,63	63,28	67,50	14,73	6,33	74,22	73,49	71,90	69,79	93,57	93,86	126,47	129,42	13,18	4,98	4,97	5,08	5,13	18,75	7,01	23,81	3,97	4,76	23,62	2,93	265,65	1378,06	203,71	1068,36	1,89	14,50	41,67	3,75	11,84	6,17	28,57	19,60	20,98	22,81	21,12	28,33	19,54	27,24	1,46	2,59	0,96	1,52	2009,97	-0,46	2,47	3,08
7887	1	2	8	43,42	47,54	26,49	88,06	98,50	95,35	181,66	26,17	87,21	98,32	94,46	182,17	30,77	28,28	79,72	79,45	8,14	5,52	76,73	78,16	69,21	66,79	97,00	98,36	132,41	133,38	11,89	5,22	5,16	5,13	5,33	8,60	6,28	15,28	4,31	6,90	22,58	2,65	751,08	3982,88	289,65	1675,76	 	7,66	30,84	2,27	2,29	3,03	30,61	18,45	18,74	21,56	23,57	30,44	16,62	29,00	1,02	1,91	0,71	1,44	2009,98	-0,77	1,16	1,43
7887	2	2	8	43,24	47,08	26,40	75,29	100,83	89,18	168,66	26,07	74,55	101,00	88,18	169,12	31,05	33,71	73,23	69,71	8,00	9,14	72,78	72,87	71,72	69,02	91,86	93,27	123,46	127,19	10,56	4,88	4,89	4,98	4,93	7,33	4,21	13,09	2,76	3,45	25,23	3,26	459,66	2409,50	250,10	1361,73	1,96	12,03	33,59	1,66	5,68	4,42	29,54	18,98	20,34	22,75	21,95	28,98	18,63	28,10	1,07	2,40	0,87	1,48	2009,99	-0,77	1,98	1,68
7891	1	3	8	44,94	48,02	27,50	91,00	100,56	98,30	181,61	27,47	90,88	99,98	98,25	181,82	45,33	43,75	73,29	73,30	10,92	11,86	77,61	78,13	70,08	68,12	97,89	99,02	133,56	135,79	17,38	5,19	5,32	5,01	5,44	15,52	7,38	16,84	5,61	7,95	21,92	2,53	502,59	2645,61	286,18	1563,55	 	8,36	26,15	1,81	5,42	4,22	30,22	19,32	18,78	22,10	24,14	30,11	17,26	28,35	1,23	1,99	0,64	1,80	2009,91	-1,28	1,02	2,33
