ZIPCODE	GENDER	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
9271	2	1	8	42,96	46,52	25,49	72,30	99,48	85,23	168,30	26,16	74,77	101,99	86,48	169,04	40,43	41,74	64,52	68,70	12,77	16,52	72,61	71,43	72,36	70,52	91,56	91,05	122,97	123,27	14,06	5,05	4,77	5,01	4,77	12,30	5,18	16,57	1,61	2,15	24,71	3,19	295,77	1500,22	218,51	1113,93	2,29	7,29	41,98	4,76	12,62	8,57	28,67	19,59	20,83	22,24	20,96	28,64	19,11	27,74	1,11	2,81	0,81	2,45	2010,00	-2,50	2,22	1,65
9281	1	1	8	45,88	49,14	26,53	83,94	95,65	93,21	177,55	26,89	86,21	98,72	96,07	178,64	60,00	54,17	63,83	54,17	10,42	4,17	75,33	76,52	66,00	66,69	95,33	96,66	129,65	129,97	11,76	5,03	5,09	4,87	5,07	8,33	10,23	23,91	6,12	8,16	22,00	2,53	625,00	3265,81	317,70	1729,32	 	13,46	 	0,00	8,70	4,35	30,14	19,41	18,47	21,94	24,65	30,34	17,14	28,41	1,37	1,70	1,30	1,54	2009,85	-1,57	0,60	3,25
9281	2	1	8	45,46	48,83	26,34	72,96	98,79	86,43	166,21	26,92	74,54	101,98	88,15	166,29	47,06	57,63	68,29	58,62	8,43	10,17	72,35	71,44	71,00	71,27	91,46	92,66	122,84	126,66	17,44	5,13	5,00	5,13	5,07	4,82	4,69	24,10	5,75	6,90	25,61	3,35	352,05	1828,49	234,09	1238,68	2,38	12,36	66,67	4,26	10,64	8,70	29,63	18,90	20,41	22,08	21,12	28,93	19,00	29,16	0,90	1,94	1,00	1,54	2009,78	-1,58	2,05	2,28
9283	1	1	8	46,25	51,48	26,45	89,96	98,03	97,07	184,40	26,72	90,79	100,14	97,86	184,28	38,18	38,89	76,36	72,22	5,45	5,56	75,91	77,58	67,73	64,88	95,14	97,68	129,04	131,98	21,82	5,14	5,13	5,10	5,25	7,27	8,88	24,07	1,79	3,57	22,65	2,63	637,41	3381,33	194,69	1167,76	 	5,36	21,74	0,00	5,71	8,57	30,34	17,79	18,64	21,26	24,04	29,46	17,02	29,00	0,88	1,44	0,65	1,33	2009,86	-0,56	0,26	1,02
9283	2	1	8	44,82	50,84	26,01	73,56	98,85	88,53	168,10	26,43	74,39	101,73	91,57	167,91	40,79	46,67	58,90	68,89	8,00	15,56	70,72	72,04	71,50	68,73	90,54	93,63	122,86	128,76	15,38	5,26	5,09	5,24	5,20	9,33	8,46	21,92	4,00	5,33	23,61	2,93	377,62	1879,47	213,97	1061,21	2,40	6,41	26,32	0,00	7,14	0,00	28,37	18,24	21,08	22,08	20,06	28,30	19,54	28,03	0,90	1,97	0,73	1,91	2009,85	-0,56	1,72	1,13
9285	1	1	8	42,95	47,45	26,00	87,47	96,92	93,57	183,30	26,08	87,19	98,81	94,32	182,75	25,76	31,82	80,15	77,27	5,34	7,95	75,84	75,32	67,90	65,21	95,87	94,78	129,99	127,92	9,09	5,07	5,12	5,07	5,14	11,45	6,13	15,20	3,13	5,47	22,39	2,55	423,00	2235,38	282,04	1530,60	 	9,02	29,69	1,32	4,00	9,21	29,64	18,58	19,19	21,61	23,26	29,59	17,42	28,41	0,79	2,06	0,54	1,68	2009,97	-0,74	0,97	0,97
9285	2	1	8	43,35	46,43	25,85	74,00	99,46	85,84	169,30	26,04	73,97	102,18	86,23	168,62	28,93	29,41	66,49	76,69	11,22	9,56	70,90	70,01	71,08	68,25	89,89	89,89	120,41	121,65	9,09	4,90	4,75	4,92	4,70	9,18	4,47	18,28	1,05	1,05	25,15	3,22	352,04	1744,17	271,27	1340,29	2,21	5,53	35,87	0,84	5,04	6,67	29,03	18,27	20,94	21,98	20,99	28,69	19,20	28,29	0,92	2,74	0,65	2,10	2009,94	-0,73	2,81	2,54
9286	2	1	8	42,70	47,44	26,13	74,36	98,42	87,30	168,54	25,26	71,43	99,10	85,19	168,21	43,40	37,50	76,47	69,70	9,80	6,06	72,34	71,57	71,47	70,69	91,53	92,26	122,74	125,60	11,32	5,00	4,76	5,10	4,78	7,84	6,30	34,00	4,00	4,00	23,02	2,70	278,72	1422,33	155,93	808,37	2,04	11,32	23,08	3,45	7,14	3,45	28,89	20,13	21,50	22,89	21,77	28,92	19,58	27,63	1,04	2,89	0,70	1,88	2010,00	-1,11	2,24	4,39
9287	1	1	8	42,90	46,37	26,45	87,49	97,64	95,15	181,86	26,82	89,26	99,22	95,31	182,50	55,71	47,37	78,57	84,21	10,00	2,63	75,37	77,16	69,66	71,16	95,21	96,63	129,86	130,09	10,00	5,26	5,11	5,09	5,28	11,43	6,35	38,46	2,99	2,99	22,45	2,66	310,67	1714,36	209,09	1206,45	 	5,63	37,04	3,13	9,38	3,13	29,34	19,70	19,42	21,84	23,31	29,88	17,98	28,06	1,25	2,31	0,97	2,03	2009,94	-2,16	2,67	3,29
9287	2	1	7	41,23	45,63	25,39	71,23	96,62	84,75	167,64	26,11	73,07	100,94	86,80	167,31	47,56	47,73	69,51	72,73	18,29	20,45	71,96	74,35	75,34	72,17	91,41	94,59	122,71	128,50	7,32	5,17	4,71	5,27	4,77	6,10	5,08	31,17	0,00	0,00	24,19	2,95	195,53	1015,36	131,52	695,29	2,22	6,10	38,46	8,51	12,77	4,26	28,72	19,22	21,24	22,16	21,68	28,58	19,58	27,89	1,27	2,67	0,85	2,40	2009,95	-2,17	2,27	1,76
